Año,Cultivo,Item,Toneladas
1961,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",13150.0
1962,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",12100.0
1963,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",11610.0
1964,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",12901.0
1965,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",12687.0
1966,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",16486.0
1967,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",17223.0
1968,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",16031.0
1969,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",17040.0
1970,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",19030.0
1971,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",19443.0
1972,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",15802.0
1973,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",14738.0
1974,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",14255.0
1975,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",13288.0
1976,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",14604.0
1977,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",11485.0
1978,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",10437.0
1979,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",11364.0
1980,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",13614.0
1981,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",14105.0
1982,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",15283.0
1983,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",14671.0
1984,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",16052.0
1985,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",14258.0
1986,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",15759.0
1987,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",18998.0
1988,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",14570.0
1989,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",13950.0
1990,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",12525.0
1991,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",12383.0
1992,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",11578.0
1993,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",21986.0
1994,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",15852.0
1995,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",16560.0
1996,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",31947.0
1997,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",34479.0
1998,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",48443.0
1999,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",60682.0
2000,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",70381.0
2001,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",70724.0
2002,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",62142.0
2003,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",69924.0
2004,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",70216.0
2005,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",99365.0
2006,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",94126.0
2007,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",111522.0
2008,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",138579.0
2009,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",119759.0
2010,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",98570.0
2011,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",127521.0
2012,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",135702.0
2013,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",126196.0
2014,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",127875.0
2015,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",119096.0
2016,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",131066.0
2017,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",153289.0
2018,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",175706.96
2019,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",182642.0
2020,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",176197.37
2021,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",213655.0
2022,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",210508.0
2023,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",215385.0
2024,Aji_Rocoto,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",201451.0
1961,Alcachofa,Artichokes,3500.0
1962,Alcachofa,Artichokes,3500.0
1963,Alcachofa,Artichokes,3500.0
1964,Alcachofa,Artichokes,3500.0
1965,Alcachofa,Artichokes,3500.0
1966,Alcachofa,Artichokes,3522.0
1967,Alcachofa,Artichokes,4096.0
1968,Alcachofa,Artichokes,5068.0
1969,Alcachofa,Artichokes,3050.0
1970,Alcachofa,Artichokes,2072.0
1971,Alcachofa,Artichokes,1824.0
1972,Alcachofa,Artichokes,1789.0
1973,Alcachofa,Artichokes,1960.0
1974,Alcachofa,Artichokes,1627.0
1975,Alcachofa,Artichokes,1996.0
1976,Alcachofa,Artichokes,2010.0
1977,Alcachofa,Artichokes,1362.0
1978,Alcachofa,Artichokes,1161.0
1979,Alcachofa,Artichokes,841.0
1980,Alcachofa,Artichokes,1100.0
1981,Alcachofa,Artichokes,1589.0
