Cultivo,Region,Riesgo_%,Nivel,Media_historica_ton
Palma aceitera,Loreto,65.0,ALTO,1060689.0
Palta,LaLibertad,60.0,MEDIO,640507.0
Arandano,LaLibertad,60.0,MEDIO,161161.0
Cafe,SanMartin,50.0,MEDIO,340045.0
Cacao,SanMartin,50.0,MEDIO,141514.0
Mandarina,Junin,47.0,MEDIO,521555.0
Uva,Ica,40.0,MEDIO,754542.0
Mango,Piura,35.0,BAJO,407461.0
Jengibre,Junin,33.0,BAJO,43648.0
Alcachofa,Ica,18.0,BAJO,116083.0
Pina,Junin,15.0,BAJO,544886.0
Aji Rocoto,Arequipa,8.0,BAJO,177900.0
Cebolla,Arequipa,0.0,BAJO,632338.0
Limon,Piura,0.0,BAJO,305705.0
Papa,Puno,,N/D,5469470.0
Arroz,SanMartin,,N/D,3356992.0
Maiz,LaLibertad,,N/D,1597029.0
Maiz choclo,Lima,,N/D,433556.0
Esparrago,LaLibertad,,N/D,365341.0
Tomate,Lima,,N/D,229480.0
Aceituna,Tacna,,N/D,
Cana azucar,LaLibertad,,N/D,11952423.0
Platano,Loreto,,N/D,2249303.0
Yuca,Loreto,,N/D,1315569.0
Naranja,Junin,,N/D,530933.0
Camote,Lima,,N/D,281575.0
Trigo,Junin,,N/D,197897.0
Haba,Junin,,N/D,82530.0
Frijol,Cajamarca,,N/D,87359.0
Papaya,Loreto,,N/D,
