fecha,temp_media,temp_max,temp_min,precipitacion_mm,humedad_%,region
2015-01-01,8.3,15.95,3.32,9.3,69.49,Ancash
2015-01-02,6.75,15.11,1.2,5.1,71.52,Ancash
2015-01-03,9.03,16.2,3.24,0.0,71.26,Ancash
2015-01-04,9.43,16.47,3.07,0.0,70.33,Ancash
2015-01-05,8.84,15.35,4.84,0.0,72.28,Ancash
2015-01-06,8.82,16.45,3.94,0.0,68.96,Ancash
2015-01-07,9.65,17.42,1.47,0.0,63.22,Ancash
2015-01-08,9.85,17.32,3.36,0.71,64.72,Ancash
2015-01-09,9.06,16.22,3.02,1.72,69.12,Ancash
2015-01-10,9.15,17.25,1.69,0.23,66.57,Ancash
2015-01-11,9.35,17.93,2.52,0.02,65.99,Ancash
2015-01-12,8.47,16.62,2.4,0.0,67.41,Ancash
2015-01-13,9.42,18.38,2.96,5.3,59.24,Ancash
2015-01-14,8.43,16.55,2.83,1.02,61.82,Ancash
2015-01-15,9.23,18.3,2.05,0.0,56.03,Ancash
2015-01-16,9.49,17.47,2.66,0.01,50.95,Ancash
2015-01-17,8.04,16.89,2.0,0.01,66.32,Ancash
2015-01-18,7.43,15.37,2.02,0.04,71.8,Ancash
2015-01-19,6.57,14.75,1.87,12.09,75.33,Ancash
2015-01-20,5.35,12.94,1.61,2.95,79.56,Ancash
2015-01-21,6.86,12.94,2.64,0.01,77.28,Ancash
2015-01-22,7.82,14.52,2.87,0.0,74.52,Ancash
2015-01-23,7.76,15.26,2.73,0.02,73.26,Ancash
2015-01-24,6.61,15.76,1.75,0.06,74.12,Ancash
2015-01-25,7.8,16.41,2.58,0.01,72.72,Ancash
2015-01-26,5.65,11.28,2.08,9.26,81.42,Ancash
2015-01-27,6.82,14.69,2.53,2.06,74.77,Ancash
2015-01-28,7.59,15.84,1.25,0.0,69.76,Ancash
2015-01-29,8.2,15.68,2.08,0.0,71.19,Ancash
2015-01-30,7.24,11.85,3.35,3.18,79.15,Ancash
2015-01-31,7.15,12.7,3.46,0.74,75.77,Ancash
2015-02-01,8.16,16.09,1.06,0.56,70.56,Ancash
2015-02-02,8.4,15.56,2.58,0.14,66.63,Ancash
2015-02-03,8.64,15.89,1.6,0.0,68.67,Ancash
2015-02-04,8.84,16.05,1.72,4.99,72.51,Ancash
2015-02-05,9.08,15.78,4.16,3.03,73.24,Ancash
2015-02-06,6.97,10.38,3.7,8.61,80.19,Ancash
2015-02-07,5.76,12.68,2.09,2.94,78.33,Ancash
2015-02-08,6.21,13.19,1.86,7.71,75.55,Ancash
2015-02-09,7.51,15.01,2.12,1.45,78.52,Ancash
2015-02-10,8.41,15.64,3.39,1.66,77.37,Ancash
2015-02-11,8.41,14.81,2.57,0.31,74.6,Ancash
2015-02-12,8.32,16.4,3.19,0.0,73.66,Ancash
2015-02-13,8.27,13.48,3.21,8.21,78.17,Ancash
2015-02-14,8.63,16.05,1.52,1.51,74.24,Ancash
2015-02-15,8.71,13.76,5.33,5.63,79.68,Ancash
2015-02-16,8.74,14.87,4.23,0.46,75.74,Ancash
2015-02-17,9.53,14.99,5.66,0.51,71.57,Ancash
2015-02-18,8.34,14.36,4.23,0.4,74.92,Ancash
2015-02-19,7.75,15.67,2.98,0.18,74.77,Ancash
2015-02-20,8.21,16.45,1.52,4.87,70.3,Ancash
2015-02-21,8.97,16.79,3.82,2.61,73.55,Ancash
2015-02-22,9.02,15.9,4.53,15.96,79.66,Ancash
2015-02-23,8.6,15.32,3.23,1.57,76.4,Ancash
2015-02-24,6.99,13.59,3.58,7.37,79.59,Ancash
2015-02-25,8.15,14.68,3.19,6.13,74.85,Ancash
2015-02-26,7.9,14.59,1.78,0.75,73.52,Ancash
2015-02-27,7.3,12.54,3.06,0.01,78.62,Ancash
2015-02-28,6.21,14.07,1.48,0.58,75.38,Ancash
2015-03-01,6.64,14.79,1.96,9.55,78.42,Ancash
2015-03-02,7.0,13.84,3.28,14.06,81.51,Ancash
2015-03-03,8.06,15.76,3.43,0.61,77.54,Ancash
2015-03-04,7.65,15.36,2.61,0.01,76.75,Ancash
2015-03-05,6.98,13.55,1.97,1.42,77.59,Ancash
2015-03-06,6.8,13.63,2.47,0.15,78.17,Ancash
2015-03-07,6.8,14.49,2.14,0.0,79.22,Ancash
