fecha,temp_media,temp_max,temp_min,precipitacion_mm,humedad_%,region
2015-01-01,9.08,16.01,2.33,7.18,76.2,Apurimac
2015-01-02,9.96,15.54,5.82,2.17,76.3,Apurimac
2015-01-03,9.03,13.06,6.4,2.43,80.58,Apurimac
2015-01-04,8.02,14.36,2.02,0.58,76.54,Apurimac
2015-01-05,9.36,14.53,5.3,1.8,77.03,Apurimac
2015-01-06,9.47,14.7,4.9,5.64,77.47,Apurimac
2015-01-07,9.59,15.79,4.94,2.63,75.17,Apurimac
2015-01-08,9.83,16.28,5.06,0.17,76.21,Apurimac
2015-01-09,8.07,14.61,2.77,0.31,74.71,Apurimac
2015-01-10,8.55,13.28,5.42,4.48,79.3,Apurimac
2015-01-11,8.54,16.15,2.57,2.32,77.23,Apurimac
2015-01-12,9.13,15.96,6.02,3.28,80.12,Apurimac
2015-01-13,9.84,16.12,5.62,0.42,71.59,Apurimac
2015-01-14,9.82,16.24,4.81,0.0,70.17,Apurimac
2015-01-15,10.86,17.89,5.37,0.05,67.96,Apurimac
2015-01-16,10.22,17.9,4.72,0.1,59.53,Apurimac
2015-01-17,9.13,14.92,3.9,1.26,70.56,Apurimac
2015-01-18,9.08,16.36,1.86,3.39,77.89,Apurimac
2015-01-19,8.04,17.45,1.84,4.46,73.35,Apurimac
2015-01-20,7.22,14.33,2.68,3.95,78.6,Apurimac
2015-01-21,9.3,16.24,4.45,4.71,78.22,Apurimac
2015-01-22,9.49,15.68,4.89,0.18,74.51,Apurimac
2015-01-23,6.8,14.85,1.87,6.19,79.57,Apurimac
2015-01-24,8.65,15.75,2.4,7.27,77.89,Apurimac
2015-01-25,8.38,15.05,3.73,10.2,80.76,Apurimac
2015-01-26,8.45,16.39,2.77,8.1,77.6,Apurimac
2015-01-27,8.65,15.54,3.54,3.86,76.3,Apurimac
2015-01-28,8.19,13.77,3.59,4.35,80.89,Apurimac
2015-01-29,9.66,16.17,4.44,0.19,78.76,Apurimac
2015-01-30,7.7,11.33,5.09,1.04,83.53,Apurimac
2015-01-31,9.17,16.06,4.12,1.99,79.51,Apurimac
2015-02-01,8.86,14.65,4.29,2.3,80.92,Apurimac
2015-02-02,9.8,17.03,4.36,0.16,75.44,Apurimac
2015-02-03,10.02,16.07,5.97,0.0,78.49,Apurimac
2015-02-04,9.28,15.51,3.73,0.0,76.31,Apurimac
2015-02-05,9.97,16.25,6.31,0.0,73.72,Apurimac
2015-02-06,8.82,14.98,5.24,3.55,76.38,Apurimac
2015-02-07,8.76,15.32,3.11,4.15,76.36,Apurimac
2015-02-08,9.33,15.92,4.49,0.37,76.86,Apurimac
2015-02-09,9.21,14.18,5.29,6.06,80.04,Apurimac
2015-02-10,8.68,14.47,4.24,4.98,80.18,Apurimac
2015-02-11,9.5,15.28,5.51,9.96,81.08,Apurimac
