fecha,temp_media,temp_max,temp_min,precipitacion_mm,humedad_%,region
2015-01-01,12.29,20.66,6.36,0.0,46.45,Arequipa
2015-01-02,12.17,19.96,7.94,1.7,58.0,Arequipa
2015-01-03,12.43,19.42,6.93,0.05,52.78,Arequipa
2015-01-04,11.97,18.37,8.12,13.37,57.25,Arequipa
2015-01-05,11.41,17.38,7.09,4.56,58.44,Arequipa
2015-01-06,12.3,19.14,6.7,0.01,58.54,Arequipa
2015-01-07,13.11,20.61,7.82,0.1,53.85,Arequipa
2015-01-08,12.75,19.8,8.41,0.07,58.04,Arequipa
2015-01-09,12.69,20.3,8.61,0.01,59.2,Arequipa
2015-01-10,10.84,16.22,6.55,0.2,64.0,Arequipa
2015-01-11,12.04,19.92,6.68,0.14,55.0,Arequipa
2015-01-12,12.04,20.13,6.5,1.3,48.9,Arequipa
2015-01-13,10.82,17.67,4.85,0.11,50.36,Arequipa
2015-01-14,11.26,19.7,4.63,0.0,47.08,Arequipa
2015-01-15,11.93,20.6,6.08,0.93,53.81,Arequipa
2015-01-16,11.32,19.52,5.76,0.03,53.54,Arequipa
2015-01-17,11.77,19.44,5.03,1.02,54.52,Arequipa
2015-01-18,11.17,18.25,6.89,0.26,65.01,Arequipa
2015-01-19,10.99,18.65,5.66,0.0,65.22,Arequipa
2015-01-20,10.79,18.17,5.31,1.14,62.81,Arequipa
2015-01-21,11.34,18.93,6.71,0.64,70.36,Arequipa
2015-01-22,11.79,19.65,7.07,0.41,68.74,Arequipa
2015-01-23,11.13,18.05,7.82,0.91,74.19,Arequipa
2015-01-24,11.58,19.13,6.98,0.05,72.05,Arequipa
2015-01-25,11.36,17.47,7.06,0.01,67.85,Arequipa
2015-01-26,12.08,19.91,6.86,0.02,66.47,Arequipa
2015-01-27,10.67,18.41,6.17,0.0,70.43,Arequipa
2015-01-28,11.09,18.08,6.32,0.26,69.38,Arequipa
2015-01-29,11.14,16.87,7.87,0.51,70.73,Arequipa
2015-01-30,11.38,17.75,7.63,0.76,67.81,Arequipa
2015-01-31,12.19,19.9,6.96,0.54,67.0,Arequipa
2015-02-01,12.94,20.76,7.52,3.45,67.71,Arequipa
2015-02-02,13.31,20.9,8.2,0.18,69.37,Arequipa
2015-02-03,13.66,21.09,8.92,0.0,68.78,Arequipa
2015-02-04,12.57,17.48,9.67,0.44,75.5,Arequipa
2015-02-05,12.1,19.3,7.8,0.63,69.1,Arequipa
2015-02-06,11.0,16.12,7.51,0.08,69.4,Arequipa
2015-02-07,10.06,16.81,6.26,4.35,76.76,Arequipa
2015-02-08,10.41,17.74,6.1,3.51,77.86,Arequipa
2015-02-09,9.58,15.33,6.35,5.99,80.19,Arequipa
2015-02-10,10.04,16.56,5.94,2.93,76.82,Arequipa
2015-02-11,10.98,18.05,6.85,3.3,75.09,Arequipa
2015-02-12,12.34,19.25,7.33,0.34,70.41,Arequipa
2015-02-13,12.3,19.81,6.77,0.2,71.84,Arequipa
2015-02-14,11.06,17.08,7.56,1.03,72.31,Arequipa
2015-02-15,10.75,16.07,7.8,13.29,78.26,Arequipa
2015-02-16,11.49,18.22,7.49,0.41,78.99,Arequipa
2015-02-17,11.84,18.95,7.32,0.0,75.37,Arequipa
2015-02-18,11.05,19.44,5.15,0.0,65.97,Arequipa
2015-02-19,9.74,17.52,3.6,0.0,60.83,Arequipa
2015-02-20,9.9,17.71,4.56,0.0,68.46,Arequipa
2015-02-21,10.82,17.24,6.54,1.18,73.98,Arequipa
2015-02-22,11.25,18.28,6.67,0.18,75.41,Arequipa
2015-02-23,11.97,19.73,6.76,0.57,72.8,Arequipa
2015-02-24,13.05,21.35,6.74,0.03,66.95,Arequipa
2015-02-25,13.1,21.92,6.66,0.0,68.07,Arequipa
2015-02-26,12.34,19.52,8.31,0.1,73.26,Arequipa
2015-02-27,11.25,16.68,7.89,2.29,74.66,Arequipa
2015-02-28,11.14,18.86,6.37,1.38,72.67,Arequipa
2015-03-01,11.86,19.44,6.61,1.15,68.84,Arequipa
2015-03-02,10.71,16.34,7.04,1.07,78.75,Arequipa
2015-03-03,11.32,17.56,7.32,2.3,80.09,Arequipa
2015-03-04,11.99,19.62,8.43,4.35,73.49,Arequipa
2015-03-05,11.7,19.06,7.61,2.53,73.79,Arequipa
2015-03-06,11.31,18.01,8.06,4.03,78.29,Arequipa
2015-03-07,12.28,20.27,6.92,0.19,74.42,Arequipa
2015-03-08,12.9,19.05,8.49,0.0,71.88,Arequipa
2015-03-09,13.96,22.3,7.59,0.25,66.9,Arequipa
2015-03-10,14.34,22.29,8.99,0.03,68.14,Arequipa
2015-03-11,14.08,21.28,8.59,0.0,67.85,Arequipa
2015-03-12,13.24,20.25,9.56,0.0,75.13,Arequipa
2015-03-13,12.16,18.96,8.68,0.4,73.29,Arequipa
2015-03-14,12.44,19.65,7.7,0.13,68.26,Arequipa
2015-03-15,13.13,20.99,8.45,0.66,69.3,Arequipa
2015-03-16,12.32,20.75,6.18,0.04,71.49,Arequipa
2015-03-17,11.64,18.14,7.83,0.24,77.94,Arequipa
2015-03-18,11.27,16.81,7.94,3.59,75.61,Arequipa
2015-03-19,10.77,18.04,7.01,5.29,78.61,Arequipa
2015-03-20,10.99,17.87,7.1,4.44,75.72,Arequipa
2015-03-21,10.64,16.63,6.46,2.42,80.23,Arequipa
2015-03-22,11.63,18.97,6.48,1.55,74.48,Arequipa
2015-03-23,10.96,17.84,6.0,5.91,76.85,Arequipa
2015-03-24,9.98,18.03,5.1,5.78,75.48,Arequipa
2015-03-25,9.5,15.2,6.21,8.54,77.95,Arequipa
2015-03-26,9.36,15.86,5.24,2.79,75.47,Arequipa
2015-03-27,9.86,17.38,3.67,0.01,63.08,Arequipa
2015-03-28,10.32,18.16,4.22,0.0,55.3,Arequipa
2015-03-29,10.72,19.19,4.49,0.0,51.14,Arequipa
2015-03-30,10.31,18.41,5.4,0.0,55.73,Arequipa
2015-03-31,10.57,18.85,4.57,0.0,60.06,Arequipa
2015-04-01,11.02,19.06,4.73,0.0,63.3,Arequipa
2015-04-02,11.58,19.76,6.26,3.1,57.57,Arequipa
2015-04-03,11.87,20.1,6.61,0.35,54.64,Arequipa
2015-04-04,11.02,19.86,4.08,0.0,59.33,Arequipa
2015-04-05,11.76,19.4,6.2,0.0,63.46,Arequipa
2015-04-06,11.79,19.43,6.21,0.0,64.26,Arequipa
2015-04-07,12.16,18.55,8.0,0.22,64.56,Arequipa
2015-04-08,11.29,17.15,7.31,4.38,69.34,Arequipa
2015-04-09,11.1,17.12,7.21,0.31,65.57,Arequipa
2015-04-10,10.7,17.46,6.24,0.94,67.06,Arequipa
2015-04-11,10.92,18.15,5.52,1.93,65.45,Arequipa
2015-04-12,10.99,17.68,5.82,0.16,69.21,Arequipa
2015-04-13,11.36,18.46,6.74,0.64,67.41,Arequipa
2015-04-14,11.92,19.73,7.45,0.01,60.96,Arequipa
2015-04-15,11.02,19.08,5.62,0.37,58.15,Arequipa
2015-04-16,10.45,17.86,5.57,0.04,50.19,Arequipa
2015-04-17,9.91,17.92,5.08,0.0,53.43,Arequipa
2015-04-18,10.27,18.24,5.2,0.0,64.08,Arequipa
2015-04-19,10.47,18.29,5.57,0.68,67.14,Arequipa
2015-04-20,10.3,18.06,5.77,3.13,67.89,Arequipa
2015-04-21,10.33,18.1,5.59,1.01,68.99,Arequipa
2015-04-22,11.87,19.84,6.89,0.25,62.59,Arequipa
2015-04-23,11.8,19.39,6.14,0.07,60.59,Arequipa
2015-04-24,12.33,19.84,7.32,0.83,61.86,Arequipa
2015-04-25,12.65,19.55,8.62,0.17,66.06,Arequipa
2015-04-26,12.03,17.81,8.32,0.0,63.73,Arequipa
2015-04-27,12.85,19.92,8.01,0.0,59.68,Arequipa
2015-04-28,12.52,19.02,8.3,0.18,66.12,Arequipa
2015-04-29,12.21,20.07,6.46,0.01,64.29,Arequipa
2015-04-30,12.14,19.61,7.27,0.0,64.71,Arequipa
