fecha,temp_media,temp_max,temp_min,precipitacion_mm,humedad_%,region
2015-01-01,9.15,14.1,5.4,7.57,80.63,Ayacucho
2015-01-02,9.96,15.18,6.54,2.0,82.29,Ayacucho
2015-01-03,10.38,15.88,6.17,0.11,79.25,Ayacucho
2015-01-04,10.59,15.71,6.76,0.01,79.29,Ayacucho
2015-01-05,9.24,13.99,6.28,7.11,83.38,Ayacucho
2015-01-06,8.27,15.85,4.24,16.16,84.55,Ayacucho
2015-01-07,9.17,15.19,4.39,1.25,79.99,Ayacucho
2015-01-08,10.27,15.81,6.27,2.12,81.62,Ayacucho
2015-01-09,9.81,14.87,7.1,0.79,83.24,Ayacucho
2015-01-10,8.94,13.05,5.0,1.56,83.7,Ayacucho
2015-01-11,9.47,15.06,5.85,3.13,82.79,Ayacucho
2015-01-12,6.1,7.49,4.6,2.83,89.64,Ayacucho
2015-01-13,8.0,13.81,3.15,0.07,77.36,Ayacucho
2015-01-14,8.66,16.17,2.7,0.0,73.85,Ayacucho
2015-01-15,10.1,17.51,4.03,0.0,73.63,Ayacucho
2015-01-16,9.04,15.68,3.25,0.0,67.4,Ayacucho
2015-01-17,9.48,13.17,6.61,1.09,83.58,Ayacucho
2015-01-18,9.11,14.72,4.8,3.16,84.31,Ayacucho
2015-01-19,9.21,17.21,3.49,8.9,78.65,Ayacucho
2015-01-20,7.5,15.31,1.99,3.77,78.34,Ayacucho
2015-01-21,8.37,12.67,5.26,1.39,87.09,Ayacucho
2015-01-22,9.66,16.44,4.35,0.08,78.98,Ayacucho
2015-01-23,9.72,15.0,6.38,1.99,81.42,Ayacucho
2015-01-24,9.49,14.27,6.26,2.66,84.01,Ayacucho
2015-01-25,8.46,12.59,4.71,16.08,85.5,Ayacucho
2015-01-26,8.81,15.45,4.21,10.28,81.77,Ayacucho
2015-01-27,8.72,14.11,4.45,11.78,83.24,Ayacucho
2015-01-28,8.06,11.91,4.24,4.17,89.04,Ayacucho
2015-01-29,9.94,15.63,5.39,1.19,83.54,Ayacucho
2015-01-30,7.74,12.67,4.49,0.35,85.99,Ayacucho
2015-01-31,8.04,14.2,3.36,2.7,82.44,Ayacucho
2015-02-01,8.18,12.94,4.87,16.37,87.63,Ayacucho
2015-02-02,8.91,15.51,3.72,1.18,80.22,Ayacucho
2015-02-03,9.56,15.91,3.91,0.0,81.5,Ayacucho
2015-02-04,9.88,15.87,4.73,0.0,79.21,Ayacucho
2015-02-05,9.83,15.21,5.77,0.0,81.32,Ayacucho
2015-02-06,10.12,15.55,6.2,1.4,80.76,Ayacucho
2015-02-07,8.37,12.48,4.85,1.63,85.46,Ayacucho
2015-02-08,7.92,13.27,3.57,0.77,87.91,Ayacucho
2015-02-09,9.38,15.42,5.23,12.06,84.82,Ayacucho
2015-02-10,8.42,13.89,4.35,6.72,86.26,Ayacucho
2015-02-11,9.24,14.21,5.9,4.82,87.54,Ayacucho
2015-02-12,9.71,15.44,6.24,1.36,86.35,Ayacucho
2015-02-13,9.14,13.49,6.41,1.94,86.92,Ayacucho
2015-02-14,10.11,16.23,5.4,0.25,81.68,Ayacucho
2015-02-15,10.17,15.52,6.71,6.2,84.61,Ayacucho
2015-02-16,8.79,15.21,5.24,1.19,86.4,Ayacucho
2015-02-17,8.85,16.27,3.68,5.63,81.23,Ayacucho
2015-02-18,9.52,16.87,4.6,3.67,73.99,Ayacucho
2015-02-19,9.74,17.75,1.29,0.38,69.63,Ayacucho
2015-02-20,8.92,16.36,3.43,0.02,79.0,Ayacucho
2015-02-21,7.66,14.31,3.56,0.5,82.65,Ayacucho
2015-02-22,8.66,14.24,4.83,2.2,85.06,Ayacucho
2015-02-23,9.35,14.42,5.66,9.63,86.32,Ayacucho
2015-02-24,8.82,13.86,4.58,6.56,85.39,Ayacucho
2015-02-25,9.37,15.06,5.65,11.95,86.47,Ayacucho
2015-02-26,9.21,13.96,6.32,8.46,88.05,Ayacucho
2015-02-27,9.4,14.84,5.2,7.53,85.55,Ayacucho
2015-02-28,8.58,11.73,6.78,15.59,90.34,Ayacucho
2015-03-01,9.03,14.19,4.87,5.3,88.44,Ayacucho
2015-03-02,8.53,13.38,4.58,3.18,88.1,Ayacucho
2015-03-03,9.65,13.62,6.98,2.0,87.11,Ayacucho
2015-03-04,9.41,14.1,6.04,7.57,88.88,Ayacucho
2015-03-05,8.92,13.14,6.12,13.66,91.35,Ayacucho
2015-03-06,9.33,14.83,5.71,2.35,88.13,Ayacucho
2015-03-07,9.27,14.97,5.26,0.2,88.22,Ayacucho
2015-03-08,9.47,13.09,6.42,0.0,88.68,Ayacucho
2015-03-09,9.96,14.62,6.63,1.03,88.74,Ayacucho
2015-03-10,8.58,12.1,5.99,0.84,92.69,Ayacucho
2015-03-11,9.69,15.55,4.49,0.02,83.9,Ayacucho
2015-03-12,9.47,13.13,6.36,1.63,90.17,Ayacucho
2015-03-13,10.04,16.17,5.14,0.13,80.99,Ayacucho
2015-03-14,9.21,12.67,6.47,0.22,80.61,Ayacucho
2015-03-15,7.88,11.66,4.79,0.31,84.54,Ayacucho
2015-03-16,9.17,15.68,3.77,0.08,83.01,Ayacucho
2015-03-17,9.56,15.19,4.3,0.39,82.6,Ayacucho
2015-03-18,8.77,13.31,6.14,1.29,88.01,Ayacucho
2015-03-19,8.71,13.88,4.34,0.65,83.8,Ayacucho
2015-03-20,9.22,14.45,5.85,7.36,85.54,Ayacucho
2015-03-21,8.85,13.32,6.31,16.62,90.13,Ayacucho
2015-03-22,8.01,13.5,4.11,2.76,86.12,Ayacucho
2015-03-23,8.0,13.91,3.14,3.13,85.19,Ayacucho
2015-03-24,8.59,14.46,4.08,2.89,84.76,Ayacucho
2015-03-25,8.3,14.58,3.49,1.02,85.06,Ayacucho
2015-03-26,8.82,15.32,3.47,0.2,78.43,Ayacucho
2015-03-27,8.85,15.39,3.77,1.19,81.85,Ayacucho
2015-03-28,6.01,11.58,2.96,0.31,85.03,Ayacucho
2015-03-29,8.86,15.3,3.6,0.0,81.71,Ayacucho
2015-03-30,9.18,16.03,3.58,0.0,83.18,Ayacucho
2015-03-31,8.33,14.08,3.72,1.81,83.97,Ayacucho
2015-04-01,7.66,10.84,5.77,1.24,90.67,Ayacucho
2015-04-02,8.87,14.55,4.69,1.48,86.08,Ayacucho
2015-04-03,10.24,16.36,5.46,0.07,83.56,Ayacucho
2015-04-04,10.04,14.89,6.92,0.16,86.06,Ayacucho
2015-04-05,9.68,14.23,6.98,0.04,84.12,Ayacucho
2015-04-06,8.61,13.45,6.01,0.48,86.66,Ayacucho
2015-04-07,8.91,14.26,5.16,0.83,86.11,Ayacucho
2015-04-08,8.44,14.32,3.75,2.57,87.02,Ayacucho
2015-04-09,4.96,7.69,2.8,3.26,92.67,Ayacucho
2015-04-10,6.62,11.77,3.87,1.81,88.86,Ayacucho
2015-04-11,7.68,13.57,3.46,0.95,85.6,Ayacucho
2015-04-12,8.91,14.68,4.72,1.85,86.13,Ayacucho
2015-04-13,7.98,13.24,4.59,0.53,87.39,Ayacucho
2015-04-14,8.52,16.41,3.25,0.0,77.76,Ayacucho
2015-04-15,8.47,15.05,3.55,0.0,77.29,Ayacucho
2015-04-16,8.07,15.2,2.56,0.02,77.33,Ayacucho
2015-04-17,8.63,14.52,4.42,0.0,81.24,Ayacucho
2015-04-18,8.73,13.21,5.7,0.0,86.56,Ayacucho
2015-04-19,8.96,13.99,4.99,2.67,86.68,Ayacucho
