fecha,temp_media,temp_max,temp_min,precipitacion_mm,humedad_%,region
2015-01-01,14.85,22.35,9.82,1.58,70.95,Cajamarca
2015-01-02,14.98,22.79,9.66,0.12,70.51,Cajamarca
2015-01-03,15.71,22.68,10.58,0.0,67.73,Cajamarca
2015-01-04,15.34,21.84,10.76,0.0,68.1,Cajamarca
2015-01-05,15.29,21.79,10.86,0.41,68.28,Cajamarca
2015-01-06,15.1,22.39,10.33,0.67,69.22,Cajamarca
2015-01-07,15.41,23.41,9.98,0.09,66.96,Cajamarca
2015-01-08,15.49,22.92,10.28,0.35,66.95,Cajamarca
2015-01-09,14.74,21.73,10.38,0.06,71.95,Cajamarca
2015-01-10,15.09,22.5,9.71,0.01,69.53,Cajamarca
2015-01-11,15.65,23.33,10.18,5.25,70.13,Cajamarca
2015-01-12,15.22,22.56,10.35,0.68,72.71,Cajamarca
2015-01-13,15.91,23.67,10.67,0.09,70.35,Cajamarca
2015-01-14,15.62,23.17,10.36,0.15,68.38,Cajamarca
2015-01-15,15.16,23.37,7.93,1.1,71.24,Cajamarca
2015-01-16,15.16,23.17,8.75,4.93,65.66,Cajamarca
2015-01-17,14.36,21.03,9.91,4.64,73.21,Cajamarca
2015-01-18,13.79,20.76,10.54,2.68,78.63,Cajamarca
2015-01-19,13.5,20.22,9.83,0.89,76.71,Cajamarca
2015-01-20,13.37,20.13,9.59,2.28,77.27,Cajamarca
2015-01-21,13.33,19.08,9.69,3.3,77.88,Cajamarca
2015-01-22,13.59,19.14,10.49,2.03,76.88,Cajamarca
2015-01-23,13.58,20.17,10.2,8.59,78.24,Cajamarca
2015-01-24,13.0,18.5,9.65,4.07,82.99,Cajamarca
2015-01-25,14.48,21.68,10.02,0.29,75.71,Cajamarca
2015-01-26,13.86,20.27,10.3,3.43,80.11,Cajamarca
2015-01-27,13.13,17.71,10.29,2.09,81.95,Cajamarca
2015-01-28,14.58,22.06,9.67,0.03,74.31,Cajamarca
2015-01-29,14.47,21.01,10.52,2.02,78.53,Cajamarca
2015-01-30,14.27,19.83,10.85,0.47,77.9,Cajamarca
2015-01-31,14.07,20.44,10.1,12.4,78.99,Cajamarca
2015-02-01,13.52,20.06,9.47,2.5,78.09,Cajamarca
2015-02-02,13.71,21.49,8.85,0.43,73.95,Cajamarca
2015-02-03,13.18,18.69,8.8,0.0,73.91,Cajamarca
2015-02-04,14.49,21.42,8.99,0.0,74.3,Cajamarca
2015-02-05,14.56,21.26,10.59,1.29,77.47,Cajamarca
2015-02-06,13.38,18.3,9.48,0.17,82.4,Cajamarca
2015-02-07,12.31,18.45,7.5,0.33,80.94,Cajamarca
2015-02-08,13.02,19.75,9.3,0.06,81.35,Cajamarca
2015-02-09,13.18,20.61,7.91,4.66,79.57,Cajamarca
2015-02-10,13.84,21.45,8.74,1.43,77.17,Cajamarca
2015-02-11,14.71,21.66,10.07,0.07,73.72,Cajamarca
