fecha,temp_media,temp_max,temp_min,precipitacion_mm,humedad_%,region
2015-01-01,5.01,10.32,1.0,3.31,76.73,Huancavelica
2015-01-02,4.47,9.46,1.51,1.76,85.12,Huancavelica
2015-01-03,4.95,11.36,1.32,0.0,79.84,Huancavelica
2015-01-04,5.58,11.85,1.35,0.0,78.52,Huancavelica
2015-01-05,5.17,11.6,1.56,4.17,79.93,Huancavelica
2015-01-06,4.65,12.7,0.37,9.22,80.08,Huancavelica
2015-01-07,4.79,11.4,0.37,0.36,80.48,Huancavelica
2015-01-08,6.22,13.24,2.36,1.43,78.82,Huancavelica
2015-01-09,5.65,12.49,1.92,0.25,79.45,Huancavelica
2015-01-10,5.64,11.76,1.19,0.34,78.33,Huancavelica
2015-01-11,5.96,12.64,2.43,2.08,78.14,Huancavelica
2015-01-12,4.34,8.82,1.67,1.0,80.86,Huancavelica
2015-01-13,5.05,11.71,-0.63,0.0,72.94,Huancavelica
2015-01-14,5.83,13.92,-1.11,0.0,64.03,Huancavelica
2015-01-15,6.78,16.2,-0.35,0.0,62.86,Huancavelica
2015-01-16,6.57,14.32,-0.44,0.0,46.09,Huancavelica
2015-01-17,7.0,14.62,1.09,0.49,71.46,Huancavelica
2015-01-18,6.22,13.81,1.63,1.79,75.38,Huancavelica
2015-01-19,5.82,14.88,-1.14,5.36,68.01,Huancavelica
2015-01-20,4.2,12.31,-0.33,1.59,64.87,Huancavelica
2015-01-21,4.97,10.5,0.95,0.44,81.79,Huancavelica
2015-01-22,6.14,13.23,0.74,0.03,75.85,Huancavelica
2015-01-23,5.91,11.48,2.2,0.98,78.24,Huancavelica
2015-01-24,5.74,11.53,2.1,1.34,78.28,Huancavelica
2015-01-25,5.21,11.49,0.45,10.05,80.15,Huancavelica
2015-01-26,5.05,12.53,0.23,4.92,79.44,Huancavelica
2015-01-27,5.11,10.9,0.78,6.56,79.63,Huancavelica
2015-01-28,4.84,9.43,1.39,1.71,85.06,Huancavelica
2015-01-29,6.05,13.32,1.69,0.65,80.01,Huancavelica
2015-01-30,3.89,9.89,0.82,0.07,81.53,Huancavelica
2015-01-31,4.21,9.6,0.67,2.25,81.86,Huancavelica
2015-02-01,4.83,11.11,0.88,8.98,82.56,Huancavelica
2015-02-02,4.82,11.89,-0.99,0.71,77.53,Huancavelica
2015-02-03,5.56,12.86,-0.37,0.0,76.74,Huancavelica
2015-02-04,6.2,13.87,0.17,0.0,68.88,Huancavelica
2015-02-05,5.97,11.8,0.52,0.0,73.14,Huancavelica
2015-02-06,5.08,11.0,1.66,0.9,80.14,Huancavelica
2015-02-07,4.59,9.49,0.82,0.54,78.83,Huancavelica
2015-02-08,4.12,9.88,0.69,0.39,83.55,Huancavelica
2015-02-09,5.04,12.05,1.06,8.93,81.11,Huancavelica
2015-02-10,4.33,10.78,0.35,3.68,82.88,Huancavelica
2015-02-11,5.54,12.06,1.07,2.5,81.06,Huancavelica
2015-02-12,6.11,12.4,2.55,0.43,82.07,Huancavelica
2015-02-13,6.23,10.69,3.01,1.13,82.79,Huancavelica
2015-02-14,6.45,13.35,1.36,0.1,78.21,Huancavelica
2015-02-15,6.46,13.13,2.32,4.25,78.77,Huancavelica
2015-02-16,4.13,10.79,1.13,0.37,84.59,Huancavelica
2015-02-17,5.5,12.18,0.9,3.46,78.88,Huancavelica
2015-02-18,6.15,15.01,0.08,2.23,69.18,Huancavelica
2015-02-19,5.38,16.04,-4.14,0.16,67.65,Huancavelica
2015-02-20,5.95,15.75,-2.17,0.0,68.27,Huancavelica
2015-02-21,5.0,12.17,1.33,0.14,80.57,Huancavelica
2015-02-22,5.72,12.37,0.55,1.48,78.59,Huancavelica
2015-02-23,5.99,11.47,2.19,6.57,80.24,Huancavelica
2015-02-24,5.41,11.88,1.57,3.78,82.36,Huancavelica
2015-02-25,5.94,12.32,2.04,9.68,81.52,Huancavelica
2015-02-26,5.06,9.74,2.23,2.82,84.34,Huancavelica
2015-02-27,5.93,12.68,0.44,5.47,78.5,Huancavelica
2015-02-28,4.71,9.31,1.78,12.14,85.11,Huancavelica
2015-03-01,5.3,11.91,0.55,0.99,83.58,Huancavelica
2015-03-02,5.06,9.14,1.54,1.8,84.86,Huancavelica
2015-03-03,6.08,11.8,2.85,0.5,82.24,Huancavelica
2015-03-04,5.92,12.4,2.36,5.46,83.99,Huancavelica
2015-03-05,5.2,11.23,1.71,8.54,87.13,Huancavelica
