fecha,temp_media,temp_max,temp_min,precipitacion_mm,humedad_%,region
2015-01-01,25.29,28.01,23.33,10.42,93.41,Iquitos
2015-01-02,25.54,28.38,22.72,11.54,90.16,Iquitos
2015-01-03,25.72,28.43,23.31,10.39,90.92,Iquitos
2015-01-04,26.05,28.68,23.72,5.78,89.37,Iquitos
2015-01-05,25.19,27.6,22.89,66.51,91.17,Iquitos
2015-01-06,24.48,26.82,22.64,49.25,93.77,Iquitos
2015-01-07,23.97,26.06,22.09,1.81,91.5,Iquitos
2015-01-08,25.16,28.13,22.25,0.94,87.87,Iquitos
2015-01-09,25.26,27.84,23.03,8.1,92.93,Iquitos
2015-01-10,24.94,26.89,23.07,27.28,93.05,Iquitos
2015-01-11,25.92,28.43,23.27,10.86,88.33,Iquitos
2015-01-12,26.03,29.06,23.09,3.5,89.32,Iquitos
2015-01-13,26.45,29.47,23.95,0.04,87.4,Iquitos
2015-01-14,26.55,29.67,23.53,0.01,89.13,Iquitos
2015-01-15,26.21,28.76,23.89,0.01,89.23,Iquitos
2015-01-16,25.99,28.71,23.63,8.77,91.9,Iquitos
2015-01-17,25.53,28.38,23.72,15.61,92.41,Iquitos
2015-01-18,26.1,29.27,23.6,11.0,89.69,Iquitos
2015-01-19,25.46,27.96,23.54,8.08,90.89,Iquitos
2015-01-20,25.18,28.02,23.09,10.06,93.2,Iquitos
2015-01-21,24.39,26.04,22.94,27.7,95.72,Iquitos
2015-01-22,24.72,27.45,22.66,6.52,89.55,Iquitos
2015-01-23,24.54,27.17,22.4,5.89,92.28,Iquitos
2015-01-24,24.56,26.78,22.56,4.38,93.31,Iquitos
2015-01-25,24.77,27.22,22.76,0.49,91.72,Iquitos
2015-01-26,25.56,28.98,22.41,0.41,90.85,Iquitos
2015-01-27,25.14,27.44,23.35,11.88,94.71,Iquitos
2015-01-28,25.96,29.01,22.98,2.31,89.24,Iquitos
2015-01-29,25.97,28.32,23.96,8.89,90.68,Iquitos
2015-01-30,25.58,27.79,23.81,4.16,91.93,Iquitos
2015-01-31,24.89,26.8,23.44,8.41,92.86,Iquitos
2015-02-01,25.08,27.64,23.07,1.91,88.0,Iquitos
2015-02-02,24.82,26.72,22.5,7.43,92.26,Iquitos
2015-02-03,25.15,27.38,22.81,33.5,89.83,Iquitos
2015-02-04,26.1,29.15,23.97,7.19,85.79,Iquitos
2015-02-05,25.59,28.38,23.23,0.01,89.84,Iquitos
2015-02-06,26.08,29.12,22.99,0.0,87.16,Iquitos
2015-02-07,25.9,28.48,23.91,0.32,88.73,Iquitos
2015-02-08,25.27,27.28,23.47,2.89,92.95,Iquitos
2015-02-09,24.56,26.71,23.03,23.73,95.73,Iquitos
2015-02-10,25.75,29.66,22.3,0.66,88.92,Iquitos
2015-02-11,26.04,28.9,23.58,10.59,90.51,Iquitos
2015-02-12,25.37,26.64,23.95,34.09,94.77,Iquitos
2015-02-13,25.02,26.3,23.69,38.37,94.73,Iquitos
2015-02-14,25.21,28.2,23.14,17.79,93.28,Iquitos
2015-02-15,25.01,27.01,23.08,4.7,93.7,Iquitos
2015-02-16,25.23,27.54,22.92,5.61,93.19,Iquitos
2015-02-17,26.38,29.28,24.25,1.06,90.29,Iquitos
2015-02-18,26.39,29.08,24.06,0.01,90.75,Iquitos
2015-02-19,26.51,29.31,24.02,0.0,91.72,Iquitos
2015-02-20,26.67,28.84,25.0,0.43,92.8,Iquitos
2015-02-21,25.78,27.78,24.31,1.96,89.87,Iquitos
2015-02-22,25.9,28.73,23.48,2.94,90.05,Iquitos
2015-02-23,25.97,29.29,23.14,1.86,89.45,Iquitos
