fecha,temp_media,temp_max,temp_min,precipitacion_mm,humedad_%,region
2015-01-01,18.98,25.19,15.2,1.16,69.77,LaLibertad
2015-01-02,18.54,24.66,14.73,0.42,70.12,LaLibertad
2015-01-03,19.36,25.7,15.54,0.0,64.48,LaLibertad
2015-01-04,19.14,25.62,15.61,0.0,66.39,LaLibertad
2015-01-05,18.73,24.75,15.12,0.08,66.28,LaLibertad
2015-01-06,19.05,25.58,15.65,0.03,65.22,LaLibertad
2015-01-07,19.63,27.51,14.27,0.0,62.54,LaLibertad
2015-01-08,18.84,26.0,14.39,0.09,66.52,LaLibertad
2015-01-09,17.79,24.17,14.27,0.01,74.15,LaLibertad
2015-01-10,18.45,25.9,13.34,0.0,69.84,LaLibertad
2015-01-11,19.28,26.21,15.28,2.15,67.92,LaLibertad
2015-01-12,19.54,26.81,15.36,0.18,67.09,LaLibertad
2015-01-13,19.52,26.98,14.6,0.02,59.58,LaLibertad
2015-01-14,19.06,25.32,15.09,0.05,61.94,LaLibertad
2015-01-15,19.34,26.79,14.42,0.33,56.05,LaLibertad
2015-01-16,18.13,25.37,13.46,3.44,62.7,LaLibertad
2015-01-17,17.67,25.05,12.49,0.6,65.89,LaLibertad
2015-01-18,16.71,21.68,13.9,1.47,75.19,LaLibertad
2015-01-19,16.78,22.5,13.17,1.2,73.78,LaLibertad
2015-01-20,16.52,22.42,13.04,1.2,75.38,LaLibertad
2015-01-21,16.85,22.29,13.56,1.58,73.06,LaLibertad
2015-01-22,16.69,21.77,14.09,0.57,79.29,LaLibertad
2015-01-23,16.74,21.66,14.08,3.39,78.02,LaLibertad
2015-01-24,16.52,22.64,13.13,1.62,76.71,LaLibertad
2015-01-25,17.78,24.8,13.14,0.17,71.95,LaLibertad
2015-01-26,17.23,21.22,14.83,1.75,80.58,LaLibertad
2015-01-27,16.89,23.18,12.65,0.97,77.88,LaLibertad
2015-01-28,18.32,25.1,14.35,0.05,72.81,LaLibertad
2015-01-29,17.37,23.1,14.37,0.97,79.68,LaLibertad
2015-01-30,17.12,21.62,13.77,0.28,80.92,LaLibertad
2015-01-31,18.0,24.02,14.26,6.04,76.96,LaLibertad
2015-02-01,17.49,24.53,13.11,0.72,79.0,LaLibertad
2015-02-02,17.89,25.14,13.4,0.09,75.47,LaLibertad
2015-02-03,18.24,25.98,13.12,0.01,72.73,LaLibertad
2015-02-04,18.52,26.19,13.7,0.23,74.54,LaLibertad
2015-02-05,18.4,24.18,15.38,0.28,78.3,LaLibertad
2015-02-06,17.15,20.28,15.12,0.59,83.74,LaLibertad
2015-02-07,16.85,21.98,14.39,0.42,80.74,LaLibertad
2015-02-08,16.88,21.85,13.66,0.76,79.4,LaLibertad
2015-02-09,16.95,22.34,13.74,2.23,79.04,LaLibertad
2015-02-10,17.51,24.14,13.08,0.2,76.17,LaLibertad
2015-02-11,17.99,24.42,13.52,0.01,76.38,LaLibertad
2015-02-12,18.99,26.44,14.51,0.04,76.73,LaLibertad
2015-02-13,18.79,25.43,15.62,0.06,76.87,LaLibertad
2015-02-14,18.82,25.89,14.67,0.21,76.93,LaLibertad
2015-02-15,17.79,22.99,14.53,1.04,81.88,LaLibertad
2015-02-16,19.11,25.59,15.56,0.1,72.68,LaLibertad
2015-02-17,19.49,26.43,15.41,0.01,72.92,LaLibertad
2015-02-18,18.56,23.76,15.71,0.06,79.32,LaLibertad
2015-02-19,18.21,22.79,15.59,0.21,80.18,LaLibertad
2015-02-20,18.38,24.22,14.6,0.02,75.07,LaLibertad
2015-02-21,17.88,25.2,13.53,0.1,71.8,LaLibertad
2015-02-22,18.2,25.37,13.63,0.16,72.63,LaLibertad
2015-02-23,17.94,23.54,15.23,0.57,74.96,LaLibertad
2015-02-24,17.61,22.26,14.8,0.26,77.15,LaLibertad
2015-02-25,18.24,24.94,14.4,5.79,71.8,LaLibertad
2015-02-26,18.0,25.02,13.42,0.46,75.54,LaLibertad
2015-02-27,17.81,23.68,14.47,0.77,77.57,LaLibertad
2015-02-28,17.87,23.86,14.26,3.56,76.23,LaLibertad
2015-03-01,17.91,22.54,14.94,2.16,78.44,LaLibertad
2015-03-02,17.11,21.78,14.2,3.72,79.28,LaLibertad
2015-03-03,17.98,23.95,14.45,3.19,75.25,LaLibertad
2015-03-04,17.22,23.24,13.3,2.38,77.62,LaLibertad
2015-03-05,17.79,23.92,13.91,0.57,76.25,LaLibertad
2015-03-06,17.76,23.72,14.28,0.85,78.33,LaLibertad
2015-03-07,18.21,24.78,14.05,0.27,72.2,LaLibertad
2015-03-08,19.14,26.08,15.17,0.84,71.89,LaLibertad
2015-03-09,18.85,26.12,13.84,0.02,71.92,LaLibertad
2015-03-10,19.18,25.76,14.47,0.0,70.34,LaLibertad
2015-03-11,19.43,26.53,14.31,0.01,68.0,LaLibertad
2015-03-12,18.93,25.33,14.97,0.84,74.5,LaLibertad
2015-03-13,18.24,24.72,14.68,0.95,78.57,LaLibertad
2015-03-14,18.76,24.73,15.33,0.62,74.73,LaLibertad
2015-03-15,18.04,24.55,14.52,1.76,78.19,LaLibertad
2015-03-16,18.34,24.26,15.06,1.73,77.84,LaLibertad
2015-03-17,18.25,23.62,14.91,0.75,76.84,LaLibertad
2015-03-18,17.83,24.22,13.78,1.86,71.21,LaLibertad
2015-03-19,16.87,21.17,13.72,1.33,73.91,LaLibertad
2015-03-20,16.62,21.06,13.97,4.47,80.13,LaLibertad
2015-03-21,17.25,22.81,14.22,4.14,77.01,LaLibertad
2015-03-22,17.16,22.23,13.83,6.36,79.09,LaLibertad
2015-03-23,17.52,23.2,14.39,1.17,78.85,LaLibertad
2015-03-24,17.61,22.64,14.53,2.03,77.65,LaLibertad
2015-03-25,17.51,22.78,14.86,0.32,78.54,LaLibertad
2015-03-26,18.03,25.22,14.01,0.09,73.86,LaLibertad
2015-03-27,18.15,25.62,13.82,0.0,72.61,LaLibertad
2015-03-28,17.82,23.72,14.29,1.97,71.09,LaLibertad
2015-03-29,18.14,25.02,14.84,0.09,75.31,LaLibertad
2015-03-30,17.23,22.18,14.04,0.28,80.87,LaLibertad
2015-03-31,17.41,24.11,12.82,1.43,76.39,LaLibertad
2015-04-01,17.91,23.53,14.99,1.91,76.37,LaLibertad
2015-04-02,18.45,25.52,14.05,1.29,71.87,LaLibertad
2015-04-03,18.44,24.83,14.67,0.07,72.2,LaLibertad
2015-04-04,17.96,24.06,15.09,2.25,76.02,LaLibertad
2015-04-05,17.57,21.65,14.58,2.03,78.5,LaLibertad
2015-04-06,18.84,25.82,14.45,0.16,69.65,LaLibertad
2015-04-07,18.88,26.32,15.03,1.77,68.84,LaLibertad
2015-04-08,19.13,25.63,16.0,0.77,74.31,LaLibertad
2015-04-09,19.46,26.67,14.24,0.13,68.89,LaLibertad
2015-04-10,19.35,25.51,15.33,1.61,69.1,LaLibertad
2015-04-11,19.15,25.8,13.8,0.31,65.05,LaLibertad
2015-04-12,18.91,26.04,13.66,2.23,67.83,LaLibertad
2015-04-13,19.22,25.14,15.59,0.95,70.32,LaLibertad
2015-04-14,18.48,23.51,15.0,3.29,76.39,LaLibertad
2015-04-15,18.43,25.71,12.88,0.31,69.34,LaLibertad
2015-04-16,18.28,25.06,15.09,0.13,71.09,LaLibertad
2015-04-17,18.4,24.11,14.03,0.08,69.55,LaLibertad
2015-04-18,18.41,23.53,14.75,0.6,73.35,LaLibertad
2015-04-19,17.77,24.29,14.06,0.88,78.0,LaLibertad
2015-04-20,17.7,23.52,14.34,0.77,75.19,LaLibertad
2015-04-21,17.72,22.68,14.84,3.38,75.6,LaLibertad
2015-04-22,18.24,25.06,14.09,0.1,69.99,LaLibertad
2015-04-23,18.41,25.96,13.26,0.0,66.81,LaLibertad
2015-04-24,18.38,25.36,13.08,0.0,67.19,LaLibertad
2015-04-25,18.22,25.78,12.79,0.11,67.76,LaLibertad
2015-04-26,18.66,27.08,12.58,0.0,67.46,LaLibertad
2015-04-27,19.32,26.52,14.82,0.0,65.1,LaLibertad
2015-04-28,19.11,26.28,14.81,0.0,67.22,LaLibertad
2015-04-29,18.88,24.15,15.11,0.01,67.41,LaLibertad
2015-04-30,18.26,24.77,14.76,1.02,73.32,LaLibertad
2015-05-01,18.52,24.67,15.67,0.52,75.16,LaLibertad
2015-05-02,17.86,22.79,14.72,0.43,75.87,LaLibertad
2015-05-03,18.39,25.1,13.88,0.02,63.69,LaLibertad
2015-05-04,18.47,24.78,13.86,0.41,67.0,LaLibertad
2015-05-05,19.33,26.14,14.31,0.19,66.85,LaLibertad
2015-05-06,19.25,25.22,15.79,0.21,69.79,LaLibertad
2015-05-07,19.52,27.23,13.72,0.01,66.87,LaLibertad
2015-05-08,19.21,26.42,13.95,0.19,66.32,LaLibertad
2015-05-09,19.52,27.28,13.21,0.05,64.69,LaLibertad
2015-05-10,19.38,25.42,14.62,0.2,68.23,LaLibertad
2015-05-11,19.99,27.26,13.92,0.02,64.07,LaLibertad
2015-05-12,20.0,27.65,14.36,0.81,65.79,LaLibertad
2015-05-13,19.13,25.22,15.17,0.82,71.66,LaLibertad
2015-05-14,18.8,25.11,14.66,1.57,67.76,LaLibertad
2015-05-15,18.36,24.42,14.34,2.93,68.71,LaLibertad
2015-05-16,18.03,24.3,14.08,7.09,73.85,LaLibertad
2015-05-17,18.33,24.47,13.84,6.22,74.19,LaLibertad
2015-05-18,18.72,26.42,13.26,0.7,69.54,LaLibertad
2015-05-19,18.69,25.32,13.52,0.57,67.72,LaLibertad
2015-05-20,18.97,26.54,13.13,0.0,65.13,LaLibertad
2015-05-21,18.14,24.17,13.82,0.0,70.58,LaLibertad
2015-05-22,19.08,26.98,13.72,0.0,67.75,LaLibertad
2015-05-23,18.72,24.77,14.81,0.01,69.11,LaLibertad
2015-05-24,18.31,22.79,15.02,0.0,71.17,LaLibertad
2015-05-25,18.42,24.32,14.13,0.0,70.6,LaLibertad
2015-05-26,18.37,24.43,15.2,1.01,72.54,LaLibertad
2015-05-27,18.49,23.63,14.92,0.03,73.55,LaLibertad
2015-05-28,17.95,23.36,14.97,0.0,75.86,LaLibertad
2015-05-29,17.16,22.21,13.94,0.19,78.66,LaLibertad
2015-05-30,18.01,23.48,14.99,0.18,77.76,LaLibertad
2015-05-31,17.74,22.25,15.1,0.33,79.41,LaLibertad
2015-06-01,18.84,26.08,14.29,0.0,67.22,LaLibertad
2015-06-02,18.51,26.2,12.51,0.06,66.15,LaLibertad
2015-06-03,18.52,26.31,13.06,0.01,64.91,LaLibertad
2015-06-04,18.07,25.46,12.42,0.12,63.74,LaLibertad
2015-06-05,18.18,26.07,12.48,0.01,64.53,LaLibertad
2015-06-06,18.15,25.59,13.06,0.0,68.83,LaLibertad
2015-06-07,17.29,24.1,12.77,0.0,75.12,LaLibertad
2015-06-08,17.68,24.05,13.26,0.0,72.99,LaLibertad
2015-06-09,17.38,24.49,12.23,0.0,73.86,LaLibertad
2015-06-10,17.28,21.85,14.09,0.45,77.99,LaLibertad
2015-06-11,18.71,25.88,14.53,0.02,71.17,LaLibertad
2015-06-12,18.47,26.31,12.94,0.03,66.91,LaLibertad
2015-06-13,18.58,25.96,12.63,0.01,64.02,LaLibertad
2015-06-14,18.91,25.96,13.67,0.0,60.82,LaLibertad
2015-06-15,18.72,27.12,12.07,0.0,60.3,LaLibertad
2015-06-16,19.11,26.63,13.07,0.0,61.64,LaLibertad
2015-06-17,19.15,27.02,13.53,0.0,59.46,LaLibertad
2015-06-18,19.09,27.37,12.84,0.0,57.06,LaLibertad
2015-06-19,18.69,26.75,12.0,0.0,55.83,LaLibertad
2015-06-20,18.17,26.12,11.95,0.0,57.43,LaLibertad
2015-06-21,18.34,27.53,10.45,0.0,50.29,LaLibertad
2015-06-22,18.14,27.21,10.52,0.0,56.77,LaLibertad
2015-06-23,18.53,27.31,11.53,0.0,53.42,LaLibertad
2015-06-24,19.03,26.94,13.13,0.0,49.18,LaLibertad
2015-06-25,19.36,27.32,13.85,0.0,52.8,LaLibertad
2015-06-26,19.01,27.08,12.76,0.0,56.79,LaLibertad
2015-06-27,18.86,27.36,11.8,0.0,54.52,LaLibertad
2015-06-28,18.91,27.57,11.44,0.0,51.56,LaLibertad
2015-06-29,18.59,26.44,11.94,0.0,58.0,LaLibertad
2015-06-30,18.68,26.39,12.03,0.0,59.95,LaLibertad
2015-07-01,19.1,27.59,12.11,0.0,59.24,LaLibertad
2015-07-02,19.27,26.87,13.08,0.0,59.48,LaLibertad
2015-07-03,20.16,28.06,13.73,0.0,54.25,LaLibertad
2015-07-04,19.37,26.77,13.41,0.0,57.1,LaLibertad
2015-07-05,18.97,26.01,13.53,0.51,60.22,LaLibertad
2015-07-06,18.88,26.46,13.01,0.06,59.12,LaLibertad
2015-07-07,18.25,25.5,13.15,0.0,58.39,LaLibertad
2015-07-08,18.67,25.72,14.24,0.0,58.86,LaLibertad
2015-07-09,18.31,26.01,11.4,0.0,57.41,LaLibertad
2015-07-10,18.88,26.04,12.92,0.0,60.27,LaLibertad
2015-07-11,19.52,26.68,15.09,0.0,58.86,LaLibertad
2015-07-12,18.11,24.83,14.7,0.0,62.55,LaLibertad
2015-07-13,18.92,25.75,14.76,0.01,58.03,LaLibertad
2015-07-14,17.88,25.51,12.67,0.0,60.97,LaLibertad
2015-07-15,18.4,26.04,13.19,0.0,58.42,LaLibertad
2015-07-16,18.33,25.9,12.69,0.0,58.49,LaLibertad
2015-07-17,18.47,25.17,13.38,0.0,59.63,LaLibertad
2015-07-18,18.26,24.39,13.52,0.02,60.18,LaLibertad
2015-07-19,18.08,25.37,12.31,0.0,60.24,LaLibertad
2015-07-20,17.17,25.16,11.67,0.0,60.81,LaLibertad
2015-07-21,17.12,25.25,11.44,0.04,59.65,LaLibertad
2015-07-22,18.06,25.7,11.91,0.19,57.08,LaLibertad
2015-07-23,19.02,26.86,13.1,0.0,55.87,LaLibertad
2015-07-24,19.43,27.44,13.82,0.0,55.08,LaLibertad
2015-07-25,19.25,27.53,12.83,0.0,52.21,LaLibertad
2015-07-26,18.94,26.99,11.51,0.0,52.88,LaLibertad
2015-07-27,19.23,26.61,13.6,0.0,55.15,LaLibertad
2015-07-28,18.45,26.14,12.23,0.0,56.49,LaLibertad
