fecha,temp_media,temp_max,temp_min,precipitacion_mm,humedad_%,region
2015-01-01,19.55,23.6,16.69,0.05,68.74,Lima
2015-01-02,19.69,23.64,17.24,0.05,69.23,Lima
2015-01-03,20.03,23.95,17.09,0.03,67.83,Lima
2015-01-04,19.91,23.52,17.26,0.21,70.35,Lima
2015-01-05,19.8,23.37,16.69,0.25,71.15,Lima
2015-01-06,19.7,23.87,16.51,0.04,70.08,Lima
2015-01-07,20.26,25.09,16.85,0.01,68.3,Lima
2015-01-08,19.83,23.94,16.47,0.05,72.19,Lima
2015-01-09,19.68,23.68,16.52,0.05,72.67,Lima
2015-01-10,19.6,23.76,16.57,0.06,73.99,Lima
2015-01-11,19.98,24.59,17.04,0.03,71.45,Lima
2015-01-12,19.91,23.75,16.92,0.01,69.64,Lima
2015-01-13,19.53,23.95,16.28,0.05,68.23,Lima
2015-01-14,19.31,23.67,15.74,0.0,67.22,Lima
2015-01-15,20.16,24.58,16.59,0.0,65.04,Lima
2015-01-16,19.13,23.27,15.46,0.01,65.52,Lima
2015-01-17,18.89,23.31,15.52,0.01,67.18,Lima
2015-01-18,18.49,22.75,15.44,0.03,70.01,Lima
2015-01-19,18.56,23.06,15.49,0.07,73.74,Lima
2015-01-20,18.52,22.05,15.87,0.02,72.59,Lima
2015-01-21,18.09,21.92,15.66,0.03,79.09,Lima
2015-01-22,18.92,23.28,16.08,0.01,76.78,Lima
2015-01-23,18.75,22.12,16.18,0.03,78.53,Lima
2015-01-24,18.49,22.17,16.3,0.07,81.3,Lima
2015-01-25,19.29,23.86,16.29,0.07,77.18,Lima
2015-01-26,19.14,22.35,16.73,0.09,76.56,Lima
2015-01-27,18.79,22.17,16.4,0.38,78.67,Lima
2015-01-28,19.88,24.23,16.78,0.08,73.76,Lima
2015-01-29,19.82,23.17,16.96,0.59,75.33,Lima
2015-01-30,19.02,21.53,16.85,0.29,79.77,Lima
2015-01-31,19.81,24.26,17.03,0.2,74.79,Lima
2015-02-01,19.63,23.68,16.61,0.23,76.77,Lima
2015-02-02,19.91,25.22,16.23,0.43,76.62,Lima
2015-02-03,20.59,25.96,16.59,0.09,74.9,Lima
2015-02-04,20.64,25.16,17.63,0.1,74.85,Lima
2015-02-05,20.52,24.46,17.48,0.29,75.28,Lima
2015-02-06,20.05,23.23,17.81,0.53,76.15,Lima
2015-02-07,19.35,22.59,17.42,1.63,79.33,Lima
2015-02-08,18.61,21.34,17.07,8.42,85.24,Lima
2015-02-09,19.17,22.65,16.37,1.17,80.6,Lima
2015-02-10,19.79,23.67,17.43,0.19,78.55,Lima
2015-02-11,20.28,24.07,17.86,0.15,79.28,Lima
2015-02-12,20.57,24.38,18.43,0.14,79.91,Lima
2015-02-13,20.36,24.16,18.15,0.93,81.97,Lima
2015-02-14,20.35,24.46,17.12,0.58,80.64,Lima
2015-02-15,20.48,23.85,18.23,0.09,77.97,Lima
2015-02-16,20.34,23.19,18.24,0.06,77.33,Lima
2015-02-17,21.04,25.09,18.47,0.07,74.45,Lima
2015-02-18,20.37,24.58,17.3,0.1,77.2,Lima
2015-02-19,20.17,24.25,17.34,0.06,74.37,Lima
2015-02-20,19.71,23.59,16.78,0.12,74.11,Lima
2015-02-21,19.65,23.29,16.79,0.14,74.26,Lima
2015-02-22,20.06,24.31,16.8,0.11,76.14,Lima
2015-02-23,20.02,23.76,17.37,0.12,77.97,Lima
2015-02-24,19.34,23.82,16.68,1.15,80.69,Lima
2015-02-25,19.42,24.17,15.86,0.73,76.14,Lima
2015-02-26,18.85,22.24,16.43,0.21,79.46,Lima
2015-02-27,19.95,24.05,16.93,1.79,73.89,Lima
2015-02-28,19.76,23.23,17.15,0.52,76.5,Lima
2015-03-01,19.68,23.28,17.34,0.77,78.92,Lima
2015-03-02,19.54,23.26,16.89,0.61,81.67,Lima
2015-03-03,19.4,23.25,16.87,1.22,81.37,Lima
2015-03-04,19.56,23.36,16.92,0.74,78.87,Lima
2015-03-05,19.5,22.78,17.01,1.07,78.14,Lima
2015-03-06,19.74,23.44,17.18,0.31,78.23,Lima
2015-03-07,19.76,23.73,17.58,2.38,77.72,Lima
2015-03-08,20.28,24.66,17.56,0.23,77.33,Lima
2015-03-09,20.52,25.01,17.88,0.03,76.24,Lima
2015-03-10,19.73,22.85,17.38,0.04,79.47,Lima
2015-03-11,20.72,25.59,16.59,0.13,73.49,Lima
