fecha,temp_media,temp_max,temp_min,precipitacion_mm,humedad_%,region
2015-01-01,27.11,35.03,21.75,0.0,58.54,Piura
2015-01-02,27.28,34.95,21.53,0.0,57.23,Piura
2015-01-03,27.05,34.76,21.58,0.0,58.27,Piura
2015-01-04,26.75,33.81,21.11,0.0,59.82,Piura
2015-01-05,27.08,34.86,20.8,0.0,58.08,Piura
2015-01-06,26.58,34.0,21.04,0.0,59.69,Piura
2015-01-07,26.62,34.2,20.86,0.0,59.43,Piura
2015-01-08,26.68,34.26,20.72,0.05,58.08,Piura
2015-01-09,26.5,34.2,21.2,0.48,60.85,Piura
2015-01-10,27.0,34.85,21.49,0.97,60.05,Piura
2015-01-11,27.41,35.66,21.29,0.2,60.61,Piura
2015-01-12,27.46,35.39,21.71,0.25,59.46,Piura
2015-01-13,27.55,35.22,21.85,0.05,58.91,Piura
2015-01-14,27.92,36.28,22.28,0.0,57.43,Piura
2015-01-15,27.67,35.74,22.49,0.0,57.79,Piura
2015-01-16,27.39,35.21,22.37,0.0,57.86,Piura
2015-01-17,26.88,34.92,21.69,0.12,58.65,Piura
2015-01-18,26.02,33.15,21.75,1.27,62.95,Piura
2015-01-19,26.64,34.32,21.54,0.77,61.31,Piura
2015-01-20,26.5,33.97,21.29,0.75,60.65,Piura
2015-01-21,26.66,33.62,21.8,0.66,62.2,Piura
2015-01-22,26.1,32.66,21.83,0.57,63.35,Piura
2015-01-23,26.9,33.78,22.0,0.11,60.11,Piura
2015-01-24,25.78,30.5,22.49,0.01,63.19,Piura
2015-01-25,27.65,35.82,22.51,0.0,56.24,Piura
2015-01-26,26.97,34.07,22.28,0.0,58.56,Piura
2015-01-27,27.57,34.36,22.65,0.88,55.59,Piura
2015-01-28,27.41,34.17,22.49,0.01,60.08,Piura
2015-01-29,27.04,34.07,22.58,0.0,62.01,Piura
2015-01-30,27.1,34.65,22.39,0.01,59.26,Piura
2015-01-31,27.24,35.31,22.34,0.73,61.5,Piura
2015-02-01,26.72,32.84,22.69,0.12,62.66,Piura
2015-02-02,27.44,35.07,22.42,0.19,61.84,Piura
2015-02-03,28.23,37.23,22.1,0.0,59.3,Piura
2015-02-04,28.42,36.54,22.71,0.0,58.74,Piura
2015-02-05,28.41,35.99,23.43,0.0,59.13,Piura
2015-02-06,27.97,34.4,23.6,0.77,60.58,Piura
2015-02-07,27.28,32.35,23.75,2.79,64.04,Piura
2015-02-08,27.96,35.25,23.2,0.72,61.89,Piura
2015-02-09,28.16,35.33,23.65,0.02,56.72,Piura
2015-02-10,28.43,36.52,23.05,0.07,55.55,Piura
2015-02-11,29.02,36.92,24.02,0.13,56.41,Piura
2015-02-12,28.48,35.8,23.79,0.15,62.47,Piura
2015-02-13,27.27,33.02,23.78,0.11,66.58,Piura
2015-02-14,28.92,37.41,23.78,0.07,60.1,Piura
2015-02-15,27.44,32.6,24.18,1.02,66.08,Piura
2015-02-16,28.72,35.95,23.24,0.14,60.03,Piura
2015-02-17,28.65,35.44,24.35,0.0,61.57,Piura
2015-02-18,27.48,31.94,24.34,0.0,66.09,Piura
2015-02-19,27.58,32.69,23.71,0.0,62.58,Piura
2015-02-20,28.91,37.09,23.7,0.0,58.9,Piura
2015-02-21,28.24,35.96,23.26,0.0,60.83,Piura
2015-02-22,28.53,36.32,23.47,0.0,56.17,Piura
2015-02-23,28.11,35.89,23.7,1.63,60.43,Piura
2015-02-24,27.4,34.44,23.25,0.58,65.4,Piura
2015-02-25,27.47,36.17,22.93,0.0,63.78,Piura
2015-02-26,27.72,33.91,23.33,0.0,61.17,Piura
2015-02-27,28.16,34.53,23.58,0.0,56.78,Piura
2015-02-28,29.01,36.55,23.87,0.13,50.06,Piura
2015-03-01,28.83,36.62,23.25,0.01,52.99,Piura
2015-03-02,28.55,35.65,23.74,0.17,58.79,Piura
2015-03-03,28.49,35.87,23.78,0.17,59.84,Piura
2015-03-04,28.72,36.11,23.5,0.0,56.15,Piura
2015-03-05,28.77,36.34,23.72,0.01,54.77,Piura
2015-03-06,28.78,35.87,23.95,0.0,55.86,Piura
2015-03-07,28.59,35.78,24.16,0.16,57.08,Piura
2015-03-08,29.14,36.78,23.99,0.0,56.08,Piura
2015-03-09,28.6,35.48,23.62,0.36,57.78,Piura
2015-03-10,27.91,34.73,23.47,0.37,60.0,Piura
2015-03-11,28.65,36.08,23.17,0.12,58.42,Piura
2015-03-12,29.41,37.05,23.81,0.0,54.78,Piura
2015-03-13,29.23,35.82,24.28,2.04,55.99,Piura
2015-03-14,28.37,34.51,24.0,4.12,60.58,Piura
2015-03-15,27.37,33.78,23.14,5.39,68.35,Piura
2015-03-16,27.14,32.92,23.05,2.37,69.3,Piura
2015-03-17,27.06,33.35,23.08,3.56,69.24,Piura
2015-03-18,26.92,32.37,23.44,2.42,70.56,Piura
2015-03-19,25.6,29.38,23.44,14.64,79.56,Piura
2015-03-20,26.09,30.6,22.71,4.48,75.31,Piura
2015-03-21,27.68,34.36,22.9,1.27,67.86,Piura
2015-03-22,28.29,35.22,23.28,0.7,65.61,Piura
2015-03-23,28.05,34.42,23.51,0.97,67.21,Piura
2015-03-24,27.91,34.08,23.59,1.08,67.31,Piura
2015-03-25,27.92,34.22,23.74,2.63,67.83,Piura
2015-03-26,28.33,35.9,23.22,2.8,67.86,Piura
2015-03-27,28.26,35.41,23.58,1.79,69.35,Piura
2015-03-28,26.86,30.89,23.99,1.34,69.86,Piura
2015-03-29,26.59,31.1,23.06,0.25,68.66,Piura
2015-03-30,27.56,34.61,23.42,1.35,67.05,Piura
2015-03-31,28.41,35.96,23.42,0.64,63.13,Piura
2015-04-01,28.47,36.4,23.76,0.06,60.91,Piura
2015-04-02,28.23,35.58,22.8,0.0,60.26,Piura
2015-04-03,28.28,36.08,23.24,0.0,60.33,Piura
2015-04-04,28.37,36.15,23.15,0.0,58.87,Piura
2015-04-05,28.75,36.91,23.5,1.2,56.3,Piura
2015-04-06,29.13,37.42,23.26,0.45,54.66,Piura
2015-04-07,28.4,35.74,22.66,0.12,58.51,Piura
2015-04-08,28.9,37.27,22.54,0.01,58.56,Piura
2015-04-09,28.62,36.49,22.62,0.1,57.18,Piura
2015-04-10,29.26,38.36,23.56,0.07,55.96,Piura
2015-04-11,29.27,38.84,23.28,0.01,57.79,Piura
2015-04-12,29.11,37.72,23.61,0.0,57.4,Piura
2015-04-13,29.33,37.98,23.23,0.0,56.28,Piura
2015-04-14,29.33,37.73,23.01,0.14,56.75,Piura
2015-04-15,28.67,36.01,23.89,0.01,58.17,Piura
2015-04-16,28.81,36.44,24.36,0.28,59.26,Piura
2015-04-17,28.6,36.26,23.99,0.04,59.55,Piura
2015-04-18,28.63,35.83,23.63,0.26,58.05,Piura
2015-04-19,27.98,35.29,23.17,0.3,60.88,Piura
2015-04-20,27.31,33.22,23.51,0.0,59.91,Piura
2015-04-21,27.33,34.75,22.71,0.31,62.58,Piura
2015-04-22,27.59,35.5,21.96,0.03,59.53,Piura
2015-04-23,27.41,36.11,21.94,0.0,61.93,Piura
2015-04-24,27.28,35.62,21.89,0.12,61.93,Piura
2015-04-25,27.2,35.81,21.1,0.33,61.4,Piura
2015-04-26,27.49,37.68,21.42,0.21,61.29,Piura
2015-04-27,27.54,36.53,22.01,0.2,62.4,Piura
2015-04-28,27.51,36.41,21.82,0.01,61.73,Piura
2015-04-29,27.83,36.89,21.75,0.0,60.38,Piura
2015-04-30,27.1,34.02,21.9,0.0,63.08,Piura
2015-05-01,27.93,35.65,22.54,0.0,59.4,Piura
2015-05-02,28.43,36.59,22.97,0.31,58.22,Piura
2015-05-03,28.45,37.2,22.48,0.73,58.98,Piura
2015-05-04,27.84,35.18,22.63,0.93,60.92,Piura
2015-05-05,28.1,35.97,22.84,0.0,58.35,Piura
2015-05-06,28.1,36.64,21.87,0.0,58.88,Piura
2015-05-07,27.84,36.33,22.02,0.0,60.22,Piura
2015-05-08,27.73,35.23,21.83,0.0,61.38,Piura
2015-05-09,27.57,36.67,21.79,0.07,61.95,Piura
2015-05-10,27.79,37.87,21.59,0.15,61.43,Piura
2015-05-11,27.86,38.37,21.82,0.5,61.92,Piura
2015-05-12,27.65,37.05,21.41,0.12,61.32,Piura
2015-05-13,27.61,35.56,21.85,0.28,61.46,Piura
2015-05-14,26.81,34.26,22.02,1.84,66.13,Piura
2015-05-15,27.0,34.76,21.57,1.06,65.15,Piura
2015-05-16,27.34,34.56,22.4,0.39,63.12,Piura
2015-05-17,27.61,35.36,22.01,0.69,63.66,Piura
2015-05-18,27.26,35.09,21.73,0.0,64.48,Piura
2015-05-19,27.32,35.29,21.66,0.12,63.59,Piura
2015-05-20,27.03,35.29,21.31,0.23,64.63,Piura
2015-05-21,26.81,34.55,21.41,0.0,63.14,Piura
2015-05-22,26.85,35.35,21.48,0.0,65.06,Piura
2015-05-23,26.84,34.69,21.24,0.53,63.12,Piura
2015-05-24,26.78,34.63,21.57,0.36,61.82,Piura
2015-05-25,26.58,34.0,21.22,0.08,61.59,Piura
2015-05-26,26.62,34.43,21.18,0.13,62.74,Piura
2015-05-27,26.68,34.03,21.69,0.04,63.77,Piura
2015-05-28,26.4,33.28,22.01,0.0,65.26,Piura
2015-05-29,26.5,33.95,21.62,0.34,63.67,Piura
2015-05-30,26.58,34.16,21.33,0.1,63.55,Piura
2015-05-31,27.01,34.41,22.01,0.1,62.69,Piura
2015-06-01,26.7,34.97,21.49,0.65,63.49,Piura
2015-06-02,26.45,35.15,20.64,0.91,65.52,Piura
2015-06-03,26.49,34.7,21.0,0.06,64.09,Piura
2015-06-04,26.07,34.98,21.04,1.34,65.5,Piura
2015-06-05,25.74,33.18,20.86,0.44,68.31,Piura
2015-06-06,26.33,34.65,20.69,0.23,65.6,Piura
2015-06-07,26.23,33.78,20.74,0.17,64.87,Piura
2015-06-08,26.11,33.03,21.4,0.03,64.42,Piura
2015-06-09,26.55,33.63,21.07,0.0,62.49,Piura
2015-06-10,27.3,34.24,22.21,0.0,62.45,Piura
2015-06-11,27.19,34.54,22.11,0.09,62.97,Piura
2015-06-12,26.57,34.31,21.31,0.04,64.54,Piura
2015-06-13,26.45,35.2,20.67,0.02,62.75,Piura
2015-06-14,26.25,34.36,20.39,0.0,61.58,Piura
2015-06-15,25.85,34.15,20.21,0.05,62.74,Piura
2015-06-16,27.03,37.36,20.71,0.09,59.51,Piura
2015-06-17,26.13,35.16,20.38,0.23,64.56,Piura
2015-06-18,26.03,34.87,20.55,0.07,66.07,Piura
2015-06-19,27.88,39.54,20.77,0.09,57.98,Piura
2015-06-20,25.96,33.6,20.74,0.09,63.97,Piura
2015-06-21,26.95,37.11,20.37,0.0,60.64,Piura
2015-06-22,26.08,34.99,20.58,0.0,63.92,Piura
2015-06-23,27.29,38.62,20.47,0.0,60.18,Piura
2015-06-24,28.3,40.42,20.84,0.18,54.58,Piura
2015-06-25,27.43,37.96,21.0,0.13,57.96,Piura
2015-06-26,26.6,37.11,20.46,0.03,62.15,Piura
2015-06-27,27.12,37.93,20.58,0.01,60.98,Piura
2015-06-28,26.87,38.03,20.9,0.03,63.27,Piura
2015-06-29,26.31,34.57,20.58,0.01,63.06,Piura
2015-06-30,26.08,33.17,20.98,0.0,63.73,Piura
2015-07-01,26.17,34.24,20.64,0.04,62.86,Piura
2015-07-02,26.46,34.6,20.91,0.04,63.35,Piura
