fecha,temp_media,temp_max,temp_min,precipitacion_mm,humedad_%,region
2015-01-01,9.81,17.14,3.42,0.13,54.78,Puno
2015-01-02,6.84,10.83,2.83,6.6,72.99,Puno
2015-01-03,8.33,14.41,2.39,0.73,63.49,Puno
2015-01-04,6.85,13.62,2.05,2.53,73.16,Puno
2015-01-05,7.54,12.78,2.71,8.66,70.84,Puno
2015-01-06,7.97,14.57,2.28,0.8,67.3,Puno
2015-01-07,7.96,13.06,4.29,1.41,68.45,Puno
2015-01-08,8.11,14.04,3.85,1.06,73.0,Puno
2015-01-09,8.22,13.85,3.42,0.49,71.89,Puno
2015-01-10,8.15,13.53,4.45,5.18,73.85,Puno
2015-01-11,7.93,14.49,2.85,1.24,70.63,Puno
2015-01-12,7.69,14.18,2.7,5.73,63.11,Puno
2015-01-13,9.26,17.56,1.39,1.19,50.24,Puno
2015-01-14,8.59,14.92,3.73,0.03,51.0,Puno
2015-01-15,9.37,15.12,4.64,2.99,54.81,Puno
2015-01-16,9.46,16.83,3.3,0.62,56.59,Puno
2015-01-17,8.59,14.19,3.4,3.51,63.22,Puno
2015-01-18,7.58,13.36,2.11,1.94,72.95,Puno
2015-01-19,7.3,14.7,2.27,0.49,72.51,Puno
2015-01-20,6.48,12.36,2.11,3.55,77.44,Puno
2015-01-21,7.46,13.12,3.29,1.2,74.6,Puno
2015-01-22,8.6,15.08,2.83,0.53,68.83,Puno
2015-01-23,8.91,14.69,4.69,1.5,70.42,Puno
2015-01-24,9.05,14.66,4.79,0.32,68.33,Puno
2015-01-25,8.92,14.64,4.64,0.16,66.59,Puno
2015-01-26,7.77,12.58,4.88,0.31,72.44,Puno
2015-01-27,9.42,15.43,4.01,0.0,64.02,Puno
2015-01-28,8.03,15.0,3.08,0.09,73.82,Puno
2015-01-29,7.48,13.33,2.4,2.09,74.61,Puno
2015-01-30,7.25,13.09,3.09,2.15,78.43,Puno
2015-01-31,8.14,14.18,4.13,1.01,75.13,Puno
2015-02-01,8.57,14.14,4.3,2.07,72.52,Puno
2015-02-02,9.47,16.04,4.71,0.08,66.57,Puno
2015-02-03,10.2,16.78,5.26,0.01,65.46,Puno
2015-02-04,9.42,13.65,6.83,0.16,67.23,Puno
2015-02-05,9.27,13.71,5.53,0.14,63.65,Puno
2015-02-06,8.09,12.38,4.78,0.62,71.13,Puno
2015-02-07,8.05,13.61,3.83,1.67,71.35,Puno
2015-02-08,8.86,15.15,3.46,2.05,69.75,Puno
2015-02-09,8.68,15.26,4.93,7.97,74.11,Puno
2015-02-10,8.4,14.98,3.42,9.45,69.86,Puno
