fecha,temp_media,temp_max,temp_min,precipitacion_mm,humedad_%,region
2015-01-01,16.83,23.52,11.37,0.01,35.66,Tacna
2015-01-02,16.48,22.87,11.6,0.02,47.74,Tacna
2015-01-03,17.39,23.11,12.23,0.0,44.1,Tacna
2015-01-04,17.18,22.32,13.49,0.29,49.19,Tacna
2015-01-05,17.69,22.67,14.2,0.24,46.44,Tacna
2015-01-06,16.65,21.0,12.78,0.02,54.3,Tacna
2015-01-07,16.93,23.17,11.97,0.09,53.98,Tacna
2015-01-08,16.87,22.48,12.75,0.1,55.57,Tacna
2015-01-09,16.82,23.53,11.21,0.12,61.62,Tacna
2015-01-10,16.24,21.17,12.92,0.29,65.53,Tacna
2015-01-11,16.9,22.73,12.92,0.42,60.45,Tacna
2015-01-12,16.22,21.6,12.67,0.7,66.06,Tacna
2015-01-13,16.53,23.18,11.65,0.04,57.53,Tacna
2015-01-14,16.19,23.06,10.75,0.0,47.72,Tacna
2015-01-15,16.23,22.6,11.23,0.0,48.68,Tacna
2015-01-16,16.33,22.37,11.83,0.0,48.59,Tacna
2015-01-17,15.96,21.89,10.89,0.0,58.07,Tacna
2015-01-18,14.71,20.45,10.69,0.48,68.2,Tacna
2015-01-19,14.47,20.54,10.41,0.06,68.87,Tacna
2015-01-20,14.08,18.99,10.7,0.1,69.5,Tacna
2015-01-21,15.19,21.83,11.0,0.61,71.38,Tacna
2015-01-22,16.28,22.66,10.96,1.62,66.19,Tacna
2015-01-23,15.0,20.23,11.75,0.23,74.95,Tacna
2015-01-24,15.57,21.52,11.59,0.02,72.55,Tacna
2015-01-25,15.88,21.97,11.25,0.06,70.11,Tacna
2015-01-26,16.14,23.31,11.29,0.18,67.89,Tacna
2015-01-27,15.71,22.18,11.06,0.04,69.24,Tacna
2015-01-28,15.18,21.59,11.4,0.11,70.22,Tacna
2015-01-29,15.2,21.24,11.82,1.49,72.63,Tacna
2015-01-30,15.49,20.76,11.13,0.9,77.12,Tacna
2015-01-31,16.73,24.19,11.52,0.22,71.38,Tacna
2015-02-01,17.49,24.4,12.96,0.08,68.98,Tacna
2015-02-02,17.42,24.39,12.66,0.01,69.21,Tacna
2015-02-03,18.1,24.58,13.37,0.03,65.35,Tacna
2015-02-04,17.47,22.02,13.8,0.48,66.94,Tacna
2015-02-05,17.08,22.68,13.13,0.06,67.85,Tacna
2015-02-06,16.47,21.61,13.15,0.26,67.38,Tacna
2015-02-07,14.74,19.36,11.61,0.25,80.59,Tacna
2015-02-08,14.89,20.56,11.58,1.23,79.84,Tacna
2015-02-09,13.91,17.88,11.57,1.12,83.38,Tacna
2015-02-10,14.49,20.11,10.85,1.96,78.27,Tacna
2015-02-11,15.18,20.13,11.47,3.99,76.59,Tacna
2015-02-12,16.71,22.22,12.76,0.29,72.29,Tacna
2015-02-13,17.2,23.41,13.23,0.02,72.72,Tacna
2015-02-14,15.75,19.51,13.15,0.26,77.62,Tacna
2015-02-15,16.21,22.39,12.99,0.75,72.0,Tacna
2015-02-16,16.42,22.14,12.37,0.04,71.58,Tacna
2015-02-17,16.93,23.02,12.73,0.0,66.01,Tacna
2015-02-18,16.56,23.59,11.6,0.01,62.47,Tacna
2015-02-19,15.42,21.74,9.95,0.0,59.52,Tacna
2015-02-20,15.14,21.23,10.35,0.0,62.49,Tacna
2015-02-21,14.97,21.08,11.12,0.04,68.9,Tacna
2015-02-22,15.32,21.32,11.72,0.17,77.14,Tacna
2015-02-23,15.81,22.02,11.74,0.29,75.78,Tacna
2015-02-24,16.5,24.2,11.14,0.0,69.19,Tacna
2015-02-25,16.56,23.93,11.49,0.0,70.48,Tacna
2015-02-26,16.25,22.84,12.13,0.07,73.67,Tacna
2015-02-27,16.54,22.73,12.17,2.27,70.81,Tacna
2015-02-28,15.86,21.79,11.71,0.34,71.55,Tacna
2015-03-01,16.15,22.13,12.24,0.01,66.59,Tacna
2015-03-02,15.64,21.93,11.21,0.6,73.07,Tacna
2015-03-03,15.17,20.8,11.17,0.18,74.59,Tacna
2015-03-04,15.69,22.46,11.82,1.49,73.04,Tacna
2015-03-05,15.9,21.32,12.43,4.12,73.78,Tacna
2015-03-06,15.59,21.67,12.19,0.76,77.08,Tacna
2015-03-07,16.37,23.41,11.73,0.1,74.26,Tacna
2015-03-08,17.11,23.23,12.59,0.08,69.94,Tacna
2015-03-09,18.45,25.89,13.2,1.22,62.13,Tacna
2015-03-10,18.65,26.02,13.74,0.12,64.32,Tacna
2015-03-11,19.03,25.59,14.4,0.0,62.35,Tacna
2015-03-12,17.76,24.54,13.24,0.0,70.45,Tacna
2015-03-13,16.97,23.21,12.92,0.29,71.49,Tacna
2015-03-14,16.95,22.81,12.82,0.03,71.18,Tacna
2015-03-15,17.78,25.44,12.91,0.14,66.48,Tacna
2015-03-16,17.35,23.48,12.72,0.02,67.8,Tacna
2015-03-17,16.33,21.95,13.2,1.27,75.91,Tacna
2015-03-18,15.42,20.08,12.78,0.28,77.15,Tacna
2015-03-19,15.7,20.68,12.32,0.27,78.02,Tacna
2015-03-20,15.48,20.72,11.95,0.17,80.39,Tacna
2015-03-21,15.99,24.03,11.51,0.29,76.1,Tacna
2015-03-22,16.03,22.62,11.93,0.07,74.54,Tacna
2015-03-23,15.38,20.25,12.01,0.24,79.52,Tacna
2015-03-24,15.73,21.77,11.21,0.73,73.19,Tacna
2015-03-25,15.08,20.02,11.83,0.43,77.84,Tacna
2015-03-26,15.62,21.5,11.34,0.24,62.92,Tacna
2015-03-27,15.99,23.03,9.78,0.01,47.77,Tacna
2015-03-28,16.16,23.59,10.73,0.0,44.39,Tacna
2015-03-29,15.73,22.35,10.34,0.01,46.92,Tacna
2015-03-30,15.2,21.87,10.21,0.0,50.51,Tacna
