fecha,temp_media,temp_max,temp_min,precipitacion_mm,humedad_%,region
2015-01-01,25.64,28.03,24.13,0.23,73.79,Tumbes
2015-01-02,26.53,29.24,24.22,0.09,70.11,Tumbes
2015-01-03,26.09,28.39,24.24,0.13,70.42,Tumbes
2015-01-04,26.1,28.74,23.9,0.2,70.74,Tumbes
2015-01-05,25.43,27.27,24.13,0.07,73.03,Tumbes
2015-01-06,25.6,27.33,24.34,0.03,72.53,Tumbes
2015-01-07,25.6,28.25,23.75,0.02,71.45,Tumbes
2015-01-08,25.27,27.44,23.93,0.3,72.32,Tumbes
2015-01-09,25.99,28.56,24.21,0.54,71.0,Tumbes
2015-01-10,25.83,28.84,24.02,0.57,71.98,Tumbes
2015-01-11,25.39,28.24,23.8,0.14,75.11,Tumbes
2015-01-12,25.89,28.95,24.02,0.33,73.29,Tumbes
2015-01-13,25.43,27.99,24.1,1.23,75.25,Tumbes
2015-01-14,25.95,28.56,24.4,1.21,73.09,Tumbes
2015-01-15,25.41,27.37,24.07,0.91,74.53,Tumbes
2015-01-16,25.34,27.88,23.81,8.04,75.83,Tumbes
2015-01-17,24.92,27.26,23.43,2.02,76.98,Tumbes
2015-01-18,24.58,26.45,23.1,3.62,78.68,Tumbes
2015-01-19,25.17,27.14,23.82,0.49,77.5,Tumbes
2015-01-20,25.37,28.04,23.79,0.73,74.9,Tumbes
2015-01-21,24.94,27.03,23.44,0.85,76.87,Tumbes
2015-01-22,24.73,26.87,23.46,1.5,78.73,Tumbes
2015-01-23,24.7,26.9,23.14,0.78,77.09,Tumbes
2015-01-24,25.43,27.53,24.07,1.05,74.98,Tumbes
2015-01-25,26.05,29.32,24.12,0.83,72.99,Tumbes
2015-01-26,25.22,27.24,23.97,0.73,75.5,Tumbes
2015-01-27,24.97,26.94,23.75,0.88,76.55,Tumbes
2015-01-28,25.0,26.95,23.8,0.69,80.12,Tumbes
2015-01-29,25.93,28.6,24.2,1.67,75.71,Tumbes
2015-01-30,25.63,28.39,24.28,0.33,73.81,Tumbes
2015-01-31,24.97,27.09,23.67,0.6,76.8,Tumbes
2015-02-01,25.39,27.73,23.81,0.13,74.63,Tumbes
2015-02-02,25.82,28.48,24.02,0.18,75.4,Tumbes
2015-02-03,25.46,28.06,24.07,0.01,77.58,Tumbes
2015-02-04,25.47,28.12,23.73,0.65,77.61,Tumbes
2015-02-05,25.62,28.34,24.25,6.97,77.28,Tumbes
2015-02-06,24.97,26.31,23.84,14.88,79.74,Tumbes
2015-02-07,25.22,26.87,23.82,5.33,80.9,Tumbes
2015-02-08,24.86,26.82,23.64,1.53,82.62,Tumbes
2015-02-09,24.81,26.6,23.26,1.23,79.82,Tumbes
2015-02-10,25.84,28.92,24.23,0.19,74.45,Tumbes
2015-02-11,26.19,29.19,24.44,0.51,76.39,Tumbes
2015-02-12,25.38,27.71,24.2,0.49,83.44,Tumbes
2015-02-13,25.17,26.74,23.99,0.26,80.69,Tumbes
2015-02-14,25.9,28.97,24.54,1.54,79.16,Tumbes
2015-02-15,25.29,27.17,24.07,4.98,83.54,Tumbes
2015-02-16,25.4,27.39,24.1,1.1,83.31,Tumbes
2015-02-17,25.92,28.4,24.38,1.12,82.12,Tumbes
2015-02-18,25.55,27.23,24.71,0.62,82.61,Tumbes
2015-02-19,25.47,26.99,24.48,0.16,81.56,Tumbes
2015-02-20,25.87,27.94,24.64,0.01,79.79,Tumbes
2015-02-21,26.19,28.92,24.44,0.39,77.41,Tumbes
2015-02-22,26.65,29.5,25.08,0.54,73.92,Tumbes
2015-02-23,25.65,28.02,24.32,4.1,80.93,Tumbes
