Item,Item Code,Año,Toneladas,Cultivo
Artichokes,366,1961,3500.0,Alcachofa
Asparagus,367,1961,5000.0,Esparrago
Avocados,572,1961,19910.0,Palta
"Beans, dry",176,1961,42530.0,Frijol
"Broad beans and horse beans, dry",181,1961,23500.0,Haba
Cantaloupes and other melons,568,1961,5000.0,Aceituna
"Cassava, fresh",125,1961,364555.0,Yuca
Cocoa beans,661,1961,2688.0,Cacao
"Coffee, green",656,1961,42643.0,Cafe
Grapes,560,1961,56456.0,Uva
Green corn (maize),446,1961,90000.0,Maiz_choclo
Lemons and limes,497,1961,55000.0,Limon
Maize (corn),56,1961,340037.0,Maiz
"Mangoes, guavas and mangosteens",571,1961,40000.0,Mango
Oil palm fruit,254,1961,0.0,Palma_aceitera
"Onions and shallots, dry (excluding dehydrated)",403,1961,57660.0,Cebolla
Oranges,490,1961,118800.0,Naranja
Pineapples,574,1961,7000.0,Pina
Potatoes,116,1961,1243666.0,Papa
Rice,27,1961,331877.0,Arroz
Sugar cane,156,1961,8100000.0,Cana_azucar
Sweet potatoes,122,1961,144820.0,Camote
"Tangerines, mandarins, clementines",495,1961,5600.0,Mandarina
Tomatoes,388,1961,32000.0,Tomate
Wheat,15,1961,153595.0,Trigo
Artichokes,366,1962,3500.0,Alcachofa
Asparagus,367,1962,5000.0,Esparrago
Avocados,572,1962,20930.0,Palta
"Beans, dry",176,1962,45360.0,Frijol
"Broad beans and horse beans, dry",181,1962,32978.0,Haba
Cantaloupes and other melons,568,1962,5000.0,Aceituna
"Cassava, fresh",125,1962,376625.0,Yuca
Cocoa beans,661,1962,2464.0,Cacao
"Coffee, green",656,1962,46356.0,Cafe
Grapes,560,1962,61900.0,Uva
Green corn (maize),446,1962,100000.0,Maiz_choclo
Lemons and limes,497,1962,56000.0,Limon
Maize (corn),56,1962,357274.0,Maiz
"Mangoes, guavas and mangosteens",571,1962,40000.0,Mango
Oil palm fruit,254,1962,0.0,Palma_aceitera
"Onions and shallots, dry (excluding dehydrated)",403,1962,68760.0,Cebolla
Oranges,490,1962,125400.0,Naranja
Pineapples,574,1962,7000.0,Pina
Potatoes,116,1962,1232256.0,Papa
Rice,27,1962,391361.0,Arroz
Sugar cane,156,1962,7950000.0,Cana_azucar
Sweet potatoes,122,1962,145720.0,Camote
"Tangerines, mandarins, clementines",495,1962,5900.0,Mandarina
Tomatoes,388,1962,22680.0,Tomate
Wheat,15,1962,152666.0,Trigo
Artichokes,366,1963,3500.0,Alcachofa
Asparagus,367,1963,5000.0,Esparrago
Avocados,572,1963,22460.0,Palta
"Beans, dry",176,1963,42360.0,Frijol
"Broad beans and horse beans, dry",181,1963,34920.0,Haba
Cantaloupes and other melons,568,1963,5000.0,Aceituna
"Cassava, fresh",125,1963,399920.0,Yuca
Cocoa beans,661,1963,2670.0,Cacao
"Coffee, green",656,1963,48940.0,Cafe
Grapes,560,1963,59570.0,Uva
Green corn (maize),446,1963,100000.0,Maiz_choclo
Lemons and limes,497,1963,58000.0,Limon
Maize (corn),56,1963,362330.0,Maiz
"Mangoes, guavas and mangosteens",571,1963,40000.0,Mango
Oil palm fruit,254,1963,0.0,Palma_aceitera
"Onions and shallots, dry (excluding dehydrated)",403,1963,90720.0,Cebolla
Oranges,490,1963,133000.0,Naranja
Pineapples,574,1963,8000.0,Pina
Potatoes,116,1963,1196920.0,Papa
Rice,27,1963,269860.0,Arroz
Sugar cane,156,1963,8285310.0,Cana_azucar
Sweet potatoes,122,1963,158790.0,Camote
"Tangerines, mandarins, clementines",495,1963,6300.0,Mandarina
Tomatoes,388,1963,24380.0,Tomate
Wheat,15,1963,155500.0,Trigo
Artichokes,366,1964,3500.0,Alcachofa
Asparagus,367,1964,5000.0,Esparrago
Avocados,572,1964,23645.0,Palta
"Beans, dry",176,1964,44734.0,Frijol
"Broad beans and horse beans, dry",181,1964,35321.0,Haba
Cantaloupes and other melons,568,1964,5000.0,Aceituna
"Cassava, fresh",125,1964,496520.0,Yuca
Cocoa beans,661,1964,2674.0,Cacao
"Coffee, green",656,1964,52740.0,Cafe
Grapes,560,1964,55723.0,Uva
Green corn (maize),446,1964,100000.0,Maiz_choclo
Lemons and limes,497,1964,60000.0,Limon
Maize (corn),56,1964,502580.0,Maiz
"Mangoes, guavas and mangosteens",571,1964,40000.0,Mango
Oil palm fruit,254,1964,0.0,Palma_aceitera
"Onions and shallots, dry (excluding dehydrated)",403,1964,124010.0,Cebolla
Oranges,490,1964,143000.0,Naranja
Pineapples,574,1964,8000.0,Pina
Potatoes,116,1964,1531130.0,Papa
Rice,27,1964,351475.0,Arroz
Sugar cane,156,1964,8100000.0,Cana_azucar
Sweet potatoes,122,1964,166411.0,Camote
"Tangerines, mandarins, clementines",495,1964,6750.0,Mandarina
Tomatoes,388,1964,40983.0,Tomate
Wheat,15,1964,143150.0,Trigo
Artichokes,366,1965,3500.0,Alcachofa
Asparagus,367,1965,5000.0,Esparrago
