fecha,temp_media,temp_max,temp_min,precipitacion_mm,humedad_%,region
2015-01-01,16.54,22.35,12.08,0.68,76.99,Amazonas
2015-01-02,16.67,23.2,11.66,0.68,75.74,Amazonas
2015-01-03,16.81,22.54,12.36,0.25,77.78,Amazonas
2015-01-04,16.24,20.86,12.33,0.06,79.35,Amazonas
2015-01-05,15.84,20.86,11.6,1.3,79.23,Amazonas
2015-01-06,15.8,20.92,11.68,3.69,80.95,Amazonas
2015-01-07,16.57,23.69,11.07,0.14,76.74,Amazonas
2015-01-08,16.86,22.91,11.57,0.06,75.89,Amazonas
2015-01-09,16.54,22.26,11.76,0.23,77.15,Amazonas
2015-01-10,16.58,22.84,11.61,1.81,79.15,Amazonas
2015-01-11,16.83,22.96,11.78,5.91,78.68,Amazonas
2015-01-12,17.03,24.0,12.78,0.39,78.64,Amazonas
2015-01-13,17.8,24.67,12.22,0.02,74.9,Amazonas
2015-01-14,18.66,25.99,12.52,0.01,71.59,Amazonas
2015-01-15,18.33,25.5,13.78,0.24,75.86,Amazonas
2015-01-16,18.03,25.4,13.16,1.8,74.39,Amazonas
2015-01-17,18.23,24.91,13.14,2.66,71.68,Amazonas
2015-01-18,17.56,23.96,13.24,6.22,78.76,Amazonas
2015-01-19,16.38,20.72,13.38,0.75,81.23,Amazonas
2015-01-20,15.95,19.47,13.59,2.02,82.9,Amazonas
2015-01-21,16.14,21.75,12.42,2.17,79.79,Amazonas
2015-01-22,15.25,20.27,11.84,5.62,82.69,Amazonas
2015-01-23,15.94,21.12,12.41,3.62,78.33,Amazonas
2015-01-24,16.47,22.67,12.21,3.25,79.72,Amazonas
2015-01-25,17.87,25.11,12.26,0.23,74.13,Amazonas
2015-01-26,17.43,23.71,12.75,1.29,77.33,Amazonas
2015-01-27,15.61,19.33,13.02,1.02,85.69,Amazonas
2015-01-28,17.25,24.76,12.5,0.02,77.89,Amazonas
2015-01-29,17.66,24.32,12.46,1.58,79.49,Amazonas
2015-01-30,17.25,22.81,12.76,0.31,76.07,Amazonas
2015-01-31,16.48,21.92,12.42,8.06,79.76,Amazonas
2015-02-01,16.14,22.2,12.86,9.52,79.59,Amazonas
2015-02-02,16.01,22.26,11.29,2.43,77.95,Amazonas
2015-02-03,15.23,20.62,11.05,0.06,77.25,Amazonas
2015-02-04,16.41,23.11,10.79,0.0,76.06,Amazonas
2015-02-05,17.03,22.63,12.59,3.82,78.96,Amazonas
2015-02-06,17.06,23.15,13.42,1.25,81.2,Amazonas
2015-02-07,16.38,20.25,13.84,2.64,82.59,Amazonas
2015-02-08,16.52,22.5,13.11,2.48,81.51,Amazonas
2015-02-09,17.75,24.99,12.18,1.27,73.95,Amazonas
2015-02-10,16.87,22.88,12.01,0.47,76.28,Amazonas
2015-02-11,17.66,24.39,12.6,0.67,76.36,Amazonas
2015-02-12,17.51,24.95,12.74,0.39,77.71,Amazonas
2015-02-13,17.65,25.29,11.96,0.95,75.64,Amazonas
2015-02-14,17.66,24.67,12.61,1.06,78.12,Amazonas
2015-02-15,17.08,21.62,13.78,1.1,76.52,Amazonas
2015-02-16,17.51,23.2,13.16,0.01,77.11,Amazonas
2015-02-17,18.11,22.99,14.31,0.0,74.95,Amazonas
2015-02-18,18.17,23.97,14.2,0.0,76.96,Amazonas
2015-02-19,17.73,23.28,13.16,0.66,75.6,Amazonas
2015-02-20,18.41,27.0,12.32,0.49,66.99,Amazonas
2015-02-21,16.77,22.8,12.11,2.89,77.9,Amazonas
2015-02-22,16.57,22.16,12.47,0.64,74.36,Amazonas
2015-02-23,17.16,23.49,11.52,0.31,74.3,Amazonas
2015-02-24,17.29,23.33,13.25,0.08,75.69,Amazonas
2015-02-25,16.9,24.23,11.89,2.24,73.07,Amazonas
2015-02-26,16.85,22.76,12.39,0.6,77.1,Amazonas
2015-02-27,16.77,22.29,13.42,3.12,81.32,Amazonas
2015-02-28,16.05,20.15,13.4,6.91,84.06,Amazonas
2015-03-01,16.82,22.48,12.72,6.03,81.47,Amazonas
2015-03-02,16.92,22.72,12.99,2.04,80.86,Amazonas
2015-03-03,17.26,23.92,12.58,2.15,79.15,Amazonas
2015-03-04,17.07,22.49,13.21,0.57,80.06,Amazonas
2015-03-05,17.31,23.18,13.18,0.02,77.76,Amazonas
2015-03-06,17.11,22.54,12.92,1.58,79.22,Amazonas
2015-03-07,17.18,22.93,13.17,2.93,81.32,Amazonas
2015-03-08,17.2,22.81,12.6,0.36,77.65,Amazonas
2015-03-09,17.78,24.1,12.65,0.05,75.74,Amazonas
2015-03-10,17.76,24.06,13.39,1.13,76.35,Amazonas
2015-03-11,17.91,25.92,12.27,0.41,74.66,Amazonas
2015-03-12,18.17,24.67,12.93,0.29,76.22,Amazonas
2015-03-13,18.08,23.92,13.98,0.59,77.63,Amazonas
2015-03-14,18.08,23.32,14.25,1.52,80.13,Amazonas
2015-03-15,16.52,21.18,13.34,4.17,83.45,Amazonas
2015-03-16,17.1,23.21,12.32,0.6,76.13,Amazonas
2015-03-17,17.87,23.58,13.56,0.65,76.79,Amazonas
2015-03-18,16.65,20.73,14.58,1.91,83.75,Amazonas
2015-03-19,16.37,20.95,13.96,4.09,82.93,Amazonas
2015-03-20,16.09,20.34,13.35,2.96,83.77,Amazonas
2015-03-21,15.94,20.61,13.15,6.84,83.26,Amazonas
2015-03-22,15.48,19.18,13.07,13.33,85.44,Amazonas
2015-03-23,16.62,23.25,11.3,0.43,78.66,Amazonas
2015-03-24,17.06,22.78,13.49,0.91,77.56,Amazonas
2015-03-25,16.86,22.9,11.52,0.62,78.24,Amazonas
2015-03-26,17.03,23.1,13.33,3.86,80.37,Amazonas
2015-03-27,16.96,21.68,13.47,1.11,81.33,Amazonas
2015-03-28,16.39,19.82,13.1,6.87,84.46,Amazonas
2015-03-29,16.2,21.9,12.12,6.82,82.73,Amazonas
2015-03-30,17.29,23.43,13.15,0.67,81.71,Amazonas
2015-03-31,16.97,21.74,14.14,1.03,82.58,Amazonas
2015-04-01,15.96,22.25,11.88,1.73,85.42,Amazonas
2015-04-02,16.57,22.5,11.91,1.49,80.68,Amazonas
2015-04-03,17.03,22.21,12.67,0.15,77.52,Amazonas
2015-04-04,17.82,24.58,13.75,2.27,78.33,Amazonas
2015-04-05,17.25,23.26,13.72,7.99,82.17,Amazonas
2015-04-06,16.62,22.61,11.77,1.96,79.55,Amazonas
2015-04-07,16.44,21.64,12.34,1.07,81.63,Amazonas
2015-04-08,17.4,24.54,12.12,0.39,77.19,Amazonas
2015-04-09,17.63,25.63,11.1,0.66,73.53,Amazonas
2015-04-10,16.09,21.77,12.05,9.1,81.27,Amazonas
2015-04-11,16.21,22.99,11.05,0.1,73.78,Amazonas
2015-04-12,16.34,23.08,11.65,10.77,79.25,Amazonas
2015-04-13,17.07,24.12,11.16,0.7,76.69,Amazonas
2015-04-14,17.44,23.99,12.54,1.38,79.82,Amazonas
2015-04-15,16.99,22.48,13.05,1.83,78.98,Amazonas
2015-04-16,15.71,19.17,13.56,6.08,85.93,Amazonas
2015-04-17,15.65,19.51,13.07,2.18,81.75,Amazonas
2015-04-18,16.31,22.22,11.98,1.94,81.05,Amazonas
2015-04-19,15.77,19.14,13.11,0.87,88.83,Amazonas
2015-04-20,16.56,23.32,11.58,0.5,78.58,Amazonas
2015-04-21,15.84,20.43,13.08,3.9,85.71,Amazonas
2015-04-22,15.9,21.92,11.64,0.36,79.28,Amazonas
2015-04-23,15.91,21.84,11.54,0.42,75.18,Amazonas
2015-04-24,16.67,23.23,11.98,1.61,73.67,Amazonas
2015-04-25,15.84,23.55,11.1,9.04,76.97,Amazonas
