fecha,temp_media,temp_max,temp_min,precipitacion_mm,humedad_%,region
2015-01-01,8.01,13.06,3.55,9.75,86.71,Cusco
2015-01-02,8.89,13.22,6.14,6.69,87.07,Cusco
2015-01-03,7.38,10.84,3.03,4.11,90.75,Cusco
2015-01-04,6.46,13.72,1.07,0.6,83.57,Cusco
2015-01-05,8.83,14.97,3.96,3.42,80.33,Cusco
2015-01-06,8.57,12.85,5.03,1.53,85.13,Cusco
2015-01-07,8.23,14.19,3.38,0.86,83.49,Cusco
2015-01-08,6.2,12.13,3.17,0.25,85.14,Cusco
2015-01-09,8.44,14.9,3.5,0.46,78.38,Cusco
2015-01-10,6.96,12.94,2.1,3.79,83.54,Cusco
2015-01-11,8.42,12.73,4.61,5.06,82.57,Cusco
2015-01-12,7.22,13.4,2.32,5.7,84.69,Cusco
2015-01-13,7.52,12.81,2.16,0.17,77.47,Cusco
2015-01-14,8.71,14.5,4.23,0.01,78.0,Cusco
2015-01-15,9.3,15.7,4.21,0.44,77.85,Cusco
2015-01-16,7.96,12.3,4.06,0.88,82.42,Cusco
2015-01-17,7.44,12.02,4.5,3.96,84.76,Cusco
2015-01-18,7.69,12.21,3.96,8.32,83.45,Cusco
2015-01-19,7.13,12.9,1.59,8.22,84.16,Cusco
2015-01-20,5.98,9.84,2.41,4.22,87.99,Cusco
2015-01-21,6.65,12.1,3.08,1.55,84.51,Cusco
2015-01-22,7.25,14.35,2.7,0.11,81.42,Cusco
2015-01-23,7.13,13.51,2.31,3.26,82.06,Cusco
2015-01-24,8.07,14.03,3.68,3.91,80.77,Cusco
2015-01-25,8.09,14.04,3.63,10.1,82.43,Cusco
2015-01-26,8.06,13.83,2.46,9.59,84.43,Cusco
2015-01-27,7.11,13.43,1.61,6.65,84.51,Cusco
2015-01-28,8.64,14.37,4.43,2.41,84.07,Cusco
2015-01-29,9.22,14.57,4.94,0.52,83.98,Cusco
2015-01-30,6.79,11.16,3.47,4.38,89.16,Cusco
2015-01-31,7.79,14.53,3.05,0.99,82.07,Cusco
2015-02-01,7.5,13.7,3.32,0.67,83.62,Cusco
2015-02-02,8.17,14.47,2.6,0.02,78.89,Cusco
2015-02-03,9.43,14.64,4.49,0.0,79.23,Cusco
2015-02-04,10.12,15.26,6.18,0.0,80.09,Cusco
2015-02-05,8.45,14.76,2.0,0.0,81.35,Cusco
2015-02-06,7.65,12.82,2.69,1.17,81.68,Cusco
2015-02-07,7.21,11.48,3.98,8.25,86.43,Cusco
2015-02-08,8.07,14.38,2.52,1.86,83.23,Cusco
2015-02-09,8.99,14.6,4.52,15.64,83.94,Cusco
2015-02-10,7.81,12.94,3.33,15.45,87.31,Cusco
2015-02-11,7.61,12.74,2.68,8.77,85.22,Cusco
2015-02-12,7.88,13.65,2.64,5.11,86.6,Cusco
2015-02-13,8.11,12.46,4.61,2.81,86.61,Cusco
2015-02-14,9.18,14.51,4.71,0.55,83.57,Cusco
2015-02-15,8.14,12.41,5.14,7.91,87.97,Cusco
2015-02-16,9.02,14.48,4.5,3.61,84.46,Cusco
2015-02-17,8.04,11.65,3.83,3.36,87.09,Cusco
2015-02-18,5.66,8.61,2.26,4.4,87.06,Cusco
2015-02-19,9.38,16.27,2.55,0.43,80.15,Cusco
2015-02-20,9.13,14.48,5.88,4.92,86.85,Cusco
2015-02-21,8.27,10.91,5.76,4.8,88.63,Cusco
2015-02-22,8.66,14.27,4.51,3.36,83.7,Cusco
2015-02-23,7.49,13.5,3.99,8.12,84.34,Cusco
2015-02-24,8.2,14.35,3.43,0.89,84.19,Cusco
2015-02-25,7.39,14.81,2.53,7.04,82.72,Cusco
2015-02-26,7.55,14.3,1.91,3.23,82.94,Cusco
2015-02-27,8.73,14.45,4.19,0.35,83.56,Cusco
2015-02-28,7.68,14.91,2.27,1.31,83.39,Cusco
2015-03-01,7.84,14.76,2.34,0.66,83.21,Cusco
2015-03-02,7.82,15.25,3.69,1.01,85.61,Cusco
2015-03-03,7.08,11.81,3.24,3.67,90.24,Cusco
2015-03-04,8.55,13.28,5.15,9.0,88.82,Cusco
2015-03-05,7.19,14.17,2.96,5.95,87.2,Cusco
2015-03-06,7.2,14.92,2.14,0.53,84.29,Cusco
2015-03-07,8.06,14.27,2.91,0.06,83.37,Cusco
2015-03-08,7.01,13.13,2.28,0.0,88.35,Cusco
2015-03-09,8.7,16.2,3.29,0.0,81.4,Cusco
2015-03-10,7.81,13.07,3.78,6.67,86.03,Cusco
2015-03-11,9.54,15.42,4.51,0.47,83.87,Cusco
2015-03-12,10.17,15.66,6.54,2.17,84.1,Cusco
2015-03-13,9.1,15.54,4.27,3.22,84.31,Cusco
2015-03-14,8.48,15.08,2.69,2.72,81.19,Cusco
2015-03-15,7.97,12.29,5.52,3.25,87.15,Cusco
2015-03-16,9.1,15.11,4.82,0.92,81.12,Cusco
2015-03-17,8.45,15.23,3.44,0.14,80.73,Cusco
2015-03-18,7.03,13.34,2.65,6.34,81.75,Cusco
2015-03-19,6.82,12.82,2.01,2.28,82.78,Cusco
2015-03-20,7.2,14.74,2.21,4.67,82.73,Cusco
2015-03-21,6.58,13.54,1.81,2.71,85.56,Cusco
2015-03-22,7.39,14.02,2.63,0.15,82.13,Cusco
2015-03-23,7.95,14.08,3.5,0.37,80.68,Cusco
2015-03-24,7.54,13.2,4.06,0.95,85.85,Cusco
2015-03-25,8.38,14.72,2.82,1.94,82.4,Cusco
2015-03-26,8.53,12.9,5.71,0.25,87.02,Cusco
2015-03-27,8.28,12.91,5.22,0.05,85.46,Cusco
2015-03-28,5.62,10.34,3.33,0.07,87.91,Cusco
