fecha,temp_media,temp_max,temp_min,precipitacion_mm,humedad_%,region
2015-01-01,9.04,14.45,4.9,11.38,85.67,Huanuco
2015-01-02,9.83,14.78,5.56,1.16,86.58,Huanuco
2015-01-03,10.62,14.51,7.72,0.0,88.08,Huanuco
2015-01-04,10.45,14.97,7.22,0.0,86.6,Huanuco
2015-01-05,9.64,13.0,7.13,0.0,88.56,Huanuco
2015-01-06,10.08,15.14,5.9,0.0,85.27,Huanuco
2015-01-07,10.52,15.2,6.45,0.0,84.43,Huanuco
2015-01-08,10.4,14.8,6.71,2.06,86.49,Huanuco
2015-01-09,9.7,14.15,6.89,5.63,89.17,Huanuco
2015-01-10,9.91,14.99,5.62,0.54,86.24,Huanuco
2015-01-11,9.53,13.81,6.1,0.0,89.39,Huanuco
2015-01-12,9.23,15.0,4.63,0.0,80.92,Huanuco
2015-01-13,9.61,15.53,5.62,10.2,84.23,Huanuco
2015-01-14,8.72,13.81,4.39,9.67,86.84,Huanuco
2015-01-15,10.63,16.38,6.17,0.0,82.21,Huanuco
2015-01-16,10.21,16.01,5.7,0.0,79.77,Huanuco
2015-01-17,10.77,15.44,7.95,0.0,85.92,Huanuco
2015-01-18,10.53,14.56,8.28,0.33,86.55,Huanuco
2015-01-19,9.99,14.11,6.45,2.22,89.04,Huanuco
2015-01-20,9.44,13.36,6.15,0.48,88.21,Huanuco
2015-01-21,9.37,13.18,6.73,0.06,87.48,Huanuco
2015-01-22,9.25,13.21,5.83,0.01,86.18,Huanuco
2015-01-23,9.31,13.67,5.93,0.49,87.23,Huanuco
2015-01-24,9.31,13.58,6.3,0.07,88.54,Huanuco
2015-01-25,10.36,14.94,6.75,0.0,82.58,Huanuco
2015-01-26,9.28,13.85,5.91,15.26,88.24,Huanuco
2015-01-27,8.04,13.12,4.15,3.89,89.32,Huanuco
2015-01-28,9.33,14.44,5.82,0.0,87.47,Huanuco
2015-01-29,10.0,14.86,6.09,0.0,87.11,Huanuco
2015-01-30,8.81,13.5,5.05,9.2,88.62,Huanuco
2015-01-31,8.86,12.73,6.42,1.16,89.69,Huanuco
2015-02-01,8.72,13.31,5.68,1.42,88.16,Huanuco
2015-02-02,8.99,13.51,5.79,0.68,87.34,Huanuco
2015-02-03,9.69,15.03,5.57,0.0,84.6,Huanuco
2015-02-04,10.17,14.89,5.85,3.76,85.58,Huanuco
2015-02-05,10.36,14.85,7.34,8.35,87.08,Huanuco
2015-02-06,9.58,13.25,7.15,3.03,89.33,Huanuco
2015-02-07,9.36,14.33,6.47,0.35,86.37,Huanuco
2015-02-08,7.82,12.02,5.2,1.28,90.61,Huanuco
2015-02-09,9.04,13.71,5.27,2.47,84.33,Huanuco
2015-02-10,8.75,14.24,4.24,6.51,87.1,Huanuco
2015-02-11,8.57,12.14,5.03,0.89,88.38,Huanuco
2015-02-12,10.05,14.64,6.74,0.0,86.86,Huanuco
2015-02-13,9.11,13.11,6.56,25.35,90.47,Huanuco
