fecha,temp_media,temp_max,temp_min,precipitacion_mm,humedad_%,region
2015-01-01,20.27,25.6,16.26,1.58,63.15,Ica
2015-01-02,18.77,22.93,15.82,0.67,68.28,Ica
2015-01-03,20.5,26.17,15.66,0.0,57.07,Ica
2015-01-04,19.81,23.63,16.83,0.0,61.28,Ica
2015-01-05,20.6,25.5,16.83,1.64,61.92,Ica
2015-01-06,20.48,26.07,15.81,3.78,64.86,Ica
2015-01-07,19.8,25.01,15.9,0.38,67.65,Ica
2015-01-08,20.35,24.86,16.74,0.67,63.31,Ica
2015-01-09,19.74,24.33,15.63,0.02,64.42,Ica
2015-01-10,18.89,23.58,15.89,0.21,69.35,Ica
2015-01-11,19.79,24.12,16.18,0.99,66.8,Ica
2015-01-12,20.19,26.31,15.86,0.3,63.07,Ica
2015-01-13,20.0,25.56,15.51,0.0,59.58,Ica
2015-01-14,20.39,27.09,15.08,0.0,54.76,Ica
2015-01-15,21.24,27.3,15.98,0.0,49.99,Ica
2015-01-16,20.38,26.72,14.73,0.0,44.89,Ica
2015-01-17,18.94,24.84,14.0,0.18,51.74,Ica
2015-01-18,18.32,23.34,13.78,0.73,60.11,Ica
2015-01-19,18.49,24.2,13.34,2.37,59.44,Ica
2015-01-20,19.17,24.7,14.15,0.52,55.2,Ica
2015-01-21,18.18,22.92,14.84,0.22,68.51,Ica
2015-01-22,19.68,24.39,15.46,0.01,64.9,Ica
2015-01-23,19.02,23.79,15.48,1.12,69.9,Ica
2015-01-24,18.61,22.91,15.27,1.15,75.37,Ica
2015-01-25,19.5,24.42,15.77,4.0,73.6,Ica
2015-01-26,19.47,24.47,16.19,2.7,73.37,Ica
2015-01-27,19.16,24.1,15.32,2.86,71.52,Ica
2015-01-28,18.56,22.68,15.42,0.49,75.01,Ica
2015-01-29,19.69,23.66,16.36,0.22,71.5,Ica
2015-01-30,20.24,25.56,16.56,0.03,66.9,Ica
2015-01-31,19.24,23.24,16.51,1.49,72.04,Ica
2015-02-01,19.48,24.76,16.51,3.84,74.9,Ica
2015-02-02,20.33,26.2,16.62,0.24,73.89,Ica
2015-02-03,20.59,26.47,16.48,0.01,72.22,Ica
2015-02-04,20.35,24.85,17.29,0.01,73.83,Ica
2015-02-05,20.07,25.61,17.06,0.04,74.19,Ica
2015-02-06,20.26,25.22,17.21,0.95,74.7,Ica
