fecha,temp_media,temp_max,temp_min,precipitacion_mm,humedad_%,region
2015-01-01,8.34,13.6,3.66,4.69,77.56,Junin
2015-01-02,9.53,15.49,6.23,1.15,78.78,Junin
2015-01-03,9.62,14.74,5.71,0.0,77.08,Junin
2015-01-04,10.26,16.34,5.6,0.0,74.73,Junin
2015-01-05,8.88,15.46,4.63,4.32,78.78,Junin
2015-01-06,9.25,16.67,4.65,9.62,78.74,Junin
2015-01-07,8.84,15.67,2.82,0.76,77.51,Junin
2015-01-08,10.33,17.06,4.45,1.24,76.49,Junin
2015-01-09,9.56,15.45,6.01,0.66,78.51,Junin
2015-01-10,9.43,14.6,5.63,0.18,78.72,Junin
2015-01-11,9.33,14.88,5.67,1.89,77.83,Junin
2015-01-12,8.05,16.05,2.81,1.37,79.82,Junin
2015-01-13,7.71,16.7,2.92,0.12,74.55,Junin
2015-01-14,8.53,16.21,2.01,0.06,72.41,Junin
2015-01-15,9.34,17.88,3.03,0.0,73.09,Junin
2015-01-16,8.64,14.96,2.93,0.0,64.43,Junin
2015-01-17,9.49,17.19,4.54,0.49,76.15,Junin
2015-01-18,7.47,12.9,3.78,2.25,84.08,Junin
2015-01-19,8.75,14.65,4.49,4.8,82.56,Junin
2015-01-20,7.79,13.68,4.69,2.32,83.43,Junin
2015-01-21,8.33,13.47,5.2,0.42,81.89,Junin
2015-01-22,9.31,16.5,3.85,0.04,74.89,Junin
2015-01-23,9.53,15.41,5.35,0.59,77.5,Junin
2015-01-24,9.21,15.43,5.6,0.97,78.67,Junin
2015-01-25,9.15,14.55,5.51,9.43,78.3,Junin
2015-01-26,7.33,12.63,2.62,6.36,86.78,Junin
2015-01-27,7.55,12.98,2.34,7.24,82.42,Junin
2015-01-28,8.21,14.32,4.4,1.84,80.78,Junin
2015-01-29,9.55,16.47,3.34,0.74,78.59,Junin
2015-01-30,7.93,12.84,3.03,0.21,82.95,Junin
2015-01-31,6.55,13.23,2.26,1.95,81.69,Junin
2015-02-01,7.42,13.27,3.24,9.62,82.73,Junin
2015-02-02,7.99,14.87,3.2,0.94,77.12,Junin
2015-02-03,9.05,16.34,2.89,0.0,77.78,Junin
2015-02-04,10.27,16.13,5.43,0.03,75.26,Junin
2015-02-05,9.93,15.85,6.15,0.04,77.91,Junin
2015-02-06,9.06,15.21,3.7,0.61,79.07,Junin
2015-02-07,7.37,11.91,3.03,0.49,81.67,Junin
2015-02-08,8.2,12.5,5.36,0.44,82.3,Junin
2015-02-09,8.78,15.09,3.74,8.58,80.09,Junin
2015-02-10,8.33,14.28,4.0,3.78,82.44,Junin
2015-02-11,8.47,13.5,4.77,2.56,81.29,Junin
2015-02-12,8.87,15.26,5.21,0.28,81.54,Junin
2015-02-13,8.7,13.06,5.79,1.22,85.99,Junin
2015-02-14,9.31,16.82,4.37,0.17,79.84,Junin
2015-02-15,9.58,15.49,4.48,3.55,79.04,Junin
2015-02-16,9.31,16.0,3.55,0.7,79.12,Junin
2015-02-17,8.25,17.29,2.69,3.02,76.81,Junin
2015-02-18,8.94,17.19,3.73,2.39,73.93,Junin
2015-02-19,9.58,17.31,2.62,0.41,69.63,Junin
2015-02-20,9.93,17.41,4.51,0.31,70.69,Junin
2015-02-21,7.72,14.12,4.28,0.07,79.39,Junin
2015-02-22,7.81,14.81,3.27,1.5,79.43,Junin
2015-02-23,9.17,15.46,4.78,6.34,82.42,Junin
2015-02-24,7.39,12.43,4.23,5.26,84.63,Junin
2015-02-25,8.47,14.85,3.89,10.11,83.56,Junin
2015-02-26,8.13,12.81,5.47,3.9,84.8,Junin
2015-02-27,8.97,14.57,4.83,4.49,83.33,Junin
2015-02-28,8.83,14.14,5.5,12.18,85.62,Junin
2015-03-01,9.13,15.19,4.74,3.33,83.76,Junin
2015-03-02,9.25,13.76,6.25,1.75,84.94,Junin
2015-03-03,8.88,13.18,6.19,0.38,84.72,Junin
2015-03-04,9.78,15.66,5.68,5.03,84.41,Junin
2015-03-05,8.25,11.79,6.0,8.69,88.4,Junin
2015-03-06,8.64,13.54,4.89,1.71,85.25,Junin
2015-03-07,9.69,15.95,4.98,0.1,82.18,Junin
2015-03-08,9.95,15.24,6.02,0.11,82.93,Junin
2015-03-09,9.81,15.08,6.2,0.71,83.55,Junin
2015-03-10,8.15,12.42,6.04,0.26,86.82,Junin
2015-03-11,9.78,16.36,4.95,0.0,79.76,Junin
2015-03-12,10.12,14.56,6.7,0.14,80.66,Junin
2015-03-13,10.26,15.88,6.17,0.01,78.52,Junin
2015-03-14,9.65,14.86,6.62,0.07,78.69,Junin
2015-03-15,8.02,13.0,5.13,0.04,83.04,Junin
2015-03-16,8.95,15.92,3.93,0.0,77.71,Junin
2015-03-17,9.21,15.83,3.61,0.22,78.0,Junin
2015-03-18,8.31,13.33,4.59,0.22,80.93,Junin
2015-03-19,8.33,15.26,2.81,0.11,77.66,Junin
2015-03-20,8.91,14.94,4.86,6.53,81.98,Junin
2015-03-21,8.39,14.57,4.58,10.38,84.33,Junin
2015-03-22,7.64,14.27,3.07,1.0,78.0,Junin
2015-03-23,8.2,14.78,3.32,1.98,78.27,Junin
2015-03-24,8.44,15.11,3.8,2.03,81.42,Junin
2015-03-25,8.0,15.56,2.92,0.42,78.83,Junin
2015-03-26,8.14,15.8,1.82,0.21,75.46,Junin
2015-03-27,7.22,14.74,2.63,0.68,81.02,Junin
2015-03-28,5.83,11.14,2.24,0.36,84.13,Junin
2015-03-29,8.61,16.09,3.45,0.0,76.35,Junin
2015-03-30,7.82,16.48,2.52,0.03,77.2,Junin
2015-03-31,8.59,15.99,2.39,1.38,76.66,Junin
2015-04-01,7.88,12.62,4.82,0.8,84.2,Junin
2015-04-02,8.85,15.58,4.05,1.01,80.33,Junin
2015-04-03,9.97,16.66,5.5,0.04,78.69,Junin
2015-04-04,10.07,16.84,5.24,0.04,78.11,Junin
2015-04-05,9.8,15.68,5.72,0.0,77.87,Junin
2015-04-06,9.17,14.84,6.33,0.03,79.11,Junin
2015-04-07,9.26,15.52,5.09,0.46,80.33,Junin
2015-04-08,8.51,14.98,4.08,2.16,84.49,Junin
2015-04-09,3.82,6.87,1.89,1.8,91.68,Junin
2015-04-10,6.3,11.55,3.11,1.22,85.85,Junin
2015-04-11,7.6,14.29,3.08,0.59,80.74,Junin
2015-04-12,8.73,15.82,3.52,1.16,80.63,Junin
2015-04-13,8.8,14.47,5.45,0.45,81.08,Junin
2015-04-14,7.11,13.78,2.5,0.0,82.26,Junin
2015-04-15,8.0,15.36,1.92,0.0,73.88,Junin
2015-04-16,7.12,13.45,2.25,0.01,79.33,Junin
2015-04-17,8.3,14.64,4.18,0.0,79.17,Junin
