fecha,temp_media,temp_max,temp_min,precipitacion_mm,humedad_%,region
2015-01-01,20.94,22.72,19.83,0.12,90.24,Lambayeque
2015-01-02,21.16,22.91,19.72,0.03,88.11,Lambayeque
2015-01-03,21.16,22.8,19.92,0.0,88.25,Lambayeque
2015-01-04,21.04,22.56,19.98,0.02,89.59,Lambayeque
2015-01-05,21.27,23.04,19.94,0.02,88.35,Lambayeque
2015-01-06,21.53,23.18,20.3,0.03,89.15,Lambayeque
2015-01-07,21.49,23.11,20.32,0.06,87.79,Lambayeque
2015-01-08,21.46,23.02,20.04,0.11,88.47,Lambayeque
2015-01-09,21.74,23.52,20.6,0.28,89.51,Lambayeque
2015-01-10,21.93,23.64,20.74,0.12,88.84,Lambayeque
2015-01-11,21.95,23.43,20.75,0.42,88.77,Lambayeque
2015-01-12,22.08,23.59,20.8,0.14,88.22,Lambayeque
2015-01-13,21.97,23.52,20.91,0.22,89.19,Lambayeque
2015-01-14,22.26,24.06,20.89,0.04,86.49,Lambayeque
2015-01-15,22.14,23.94,20.77,0.26,87.34,Lambayeque
2015-01-16,22.03,23.9,20.71,0.52,87.28,Lambayeque
2015-01-17,21.79,23.51,20.25,0.38,87.91,Lambayeque
2015-01-18,21.64,23.2,20.52,1.01,88.07,Lambayeque
2015-01-19,22.01,24.16,20.71,0.86,85.78,Lambayeque
2015-01-20,21.86,23.68,20.33,0.27,87.45,Lambayeque
2015-01-21,21.85,23.55,20.57,0.24,88.83,Lambayeque
2015-01-22,21.57,23.25,20.6,0.74,89.43,Lambayeque
2015-01-23,21.75,23.31,20.34,1.04,88.44,Lambayeque
2015-01-24,21.85,23.34,20.65,0.78,88.97,Lambayeque
2015-01-25,22.07,23.92,20.39,0.11,86.81,Lambayeque
2015-01-26,22.14,24.1,20.63,0.33,87.29,Lambayeque
2015-01-27,22.92,25.04,21.13,0.25,82.64,Lambayeque
2015-01-28,22.72,24.16,21.31,0.02,86.63,Lambayeque
2015-01-29,22.73,24.77,21.64,0.21,88.34,Lambayeque
2015-01-30,22.64,24.44,21.43,1.09,87.85,Lambayeque
2015-01-31,22.66,24.01,21.72,3.51,89.33,Lambayeque
2015-02-01,22.72,24.02,21.86,0.38,90.43,Lambayeque
2015-02-02,23.24,24.9,22.04,0.14,87.13,Lambayeque
2015-02-03,23.15,24.91,21.73,0.21,89.32,Lambayeque
2015-02-04,23.42,25.07,22.04,0.02,88.17,Lambayeque
2015-02-05,23.09,24.23,22.3,0.48,90.44,Lambayeque
2015-02-06,23.23,24.59,22.23,0.22,89.04,Lambayeque
2015-02-07,23.16,23.96,22.45,0.95,89.27,Lambayeque
