fecha,temp_media,temp_max,temp_min,precipitacion_mm,humedad_%,region
2015-01-01,25.44,28.85,22.48,2.07,89.46,MadreDeDios
2015-01-02,25.43,29.0,22.41,1.17,89.86,MadreDeDios
2015-01-03,23.91,25.46,22.83,7.31,94.94,MadreDeDios
2015-01-04,23.85,26.97,22.0,3.27,93.11,MadreDeDios
2015-01-05,24.61,27.79,21.68,3.88,90.92,MadreDeDios
2015-01-06,25.08,28.72,21.77,3.65,90.29,MadreDeDios
2015-01-07,25.57,29.32,21.62,0.67,88.67,MadreDeDios
2015-01-08,25.25,27.52,23.39,14.22,94.57,MadreDeDios
2015-01-09,25.32,28.45,23.06,2.2,92.8,MadreDeDios
2015-01-10,24.76,27.81,22.28,2.0,88.89,MadreDeDios
2015-01-11,24.38,26.85,21.99,13.71,93.54,MadreDeDios
2015-01-12,24.0,25.39,23.05,56.66,96.52,MadreDeDios
2015-01-13,24.64,27.9,21.6,10.51,92.18,MadreDeDios
2015-01-14,24.66,27.55,22.35,3.55,93.12,MadreDeDios
2015-01-15,25.19,28.75,21.33,5.2,90.49,MadreDeDios
2015-01-16,24.42,25.93,23.14,9.74,96.68,MadreDeDios
2015-01-17,24.32,26.38,22.54,26.05,95.54,MadreDeDios
2015-01-18,25.16,27.97,22.74,17.9,90.84,MadreDeDios
2015-01-19,24.07,25.95,22.69,14.02,95.73,MadreDeDios
2015-01-20,24.31,26.98,21.75,16.87,95.37,MadreDeDios
2015-01-21,23.83,26.11,21.74,23.91,95.59,MadreDeDios
2015-01-22,24.03,26.46,21.88,11.44,94.73,MadreDeDios
2015-01-23,25.35,28.75,21.47,1.41,87.43,MadreDeDios
2015-01-24,25.14,27.63,23.02,5.91,92.43,MadreDeDios
2015-01-25,24.61,27.24,22.49,4.81,95.08,MadreDeDios
2015-01-26,24.05,26.55,22.29,29.4,95.4,MadreDeDios
2015-01-27,23.7,25.54,22.14,33.71,98.0,MadreDeDios
2015-01-28,24.95,28.31,21.99,1.44,91.39,MadreDeDios
2015-01-29,25.23,28.18,22.53,5.59,92.04,MadreDeDios
2015-01-30,24.11,25.62,22.83,56.79,97.49,MadreDeDios
2015-01-31,24.18,27.02,21.63,23.15,92.82,MadreDeDios
2015-02-01,25.56,29.26,22.06,1.04,86.95,MadreDeDios
2015-02-02,25.85,29.45,22.69,0.11,87.21,MadreDeDios
2015-02-03,26.02,29.58,22.4,0.02,88.39,MadreDeDios
2015-02-04,26.16,29.34,23.37,0.0,88.82,MadreDeDios
2015-02-05,26.01,28.49,23.92,0.02,90.1,MadreDeDios
2015-02-06,25.59,27.65,23.91,0.38,91.39,MadreDeDios
2015-02-07,25.15,27.29,23.67,0.61,91.42,MadreDeDios
2015-02-08,25.23,28.22,22.64,30.7,92.33,MadreDeDios
2015-02-09,24.87,28.16,22.37,5.02,91.73,MadreDeDios
2015-02-10,25.34,28.63,22.54,1.52,90.6,MadreDeDios
2015-02-11,24.85,27.33,23.09,3.33,94.29,MadreDeDios
2015-02-12,25.77,29.32,22.67,0.93,89.99,MadreDeDios
2015-02-13,25.8,29.14,23.09,1.94,89.78,MadreDeDios
2015-02-14,24.49,26.58,22.95,5.07,93.81,MadreDeDios
2015-02-15,25.04,28.07,22.15,4.69,92.83,MadreDeDios
2015-02-16,25.77,29.04,23.22,1.32,90.36,MadreDeDios
2015-02-17,25.03,27.13,23.1,10.23,93.74,MadreDeDios
2015-02-18,24.82,27.17,22.94,93.74,95.9,MadreDeDios
2015-02-19,24.94,28.58,22.64,26.51,93.95,MadreDeDios
2015-02-20,23.98,26.21,21.95,88.52,96.06,MadreDeDios
2015-02-21,22.46,23.17,20.89,36.68,94.9,MadreDeDios
2015-02-22,24.33,28.02,20.38,0.32,88.69,MadreDeDios
