fecha,temp_media,temp_max,temp_min,precipitacion_mm,humedad_%,region
2015-01-01,9.06,18.13,1.2,0.01,49.37,Moquegua
2015-01-02,8.37,15.43,4.08,1.03,64.32,Moquegua
2015-01-03,9.01,16.2,2.86,0.01,52.24,Moquegua
2015-01-04,8.1,14.04,3.58,5.58,62.4,Moquegua
2015-01-05,7.62,13.63,3.3,2.04,64.33,Moquegua
2015-01-06,8.15,15.62,3.15,0.05,62.7,Moquegua
2015-01-07,9.5,17.83,3.79,0.23,53.64,Moquegua
2015-01-08,7.88,13.5,4.61,0.14,70.22,Moquegua
2015-01-09,8.41,16.51,3.7,0.1,66.26,Moquegua
2015-01-10,8.99,15.03,4.22,0.62,70.46,Moquegua
2015-01-11,8.95,16.93,3.73,0.52,60.72,Moquegua
2015-01-12,7.09,14.19,2.32,1.41,63.0,Moquegua
2015-01-13,7.56,15.92,1.73,0.05,51.3,Moquegua
2015-01-14,7.65,16.46,1.42,0.0,51.68,Moquegua
2015-01-15,8.32,17.35,1.1,0.5,54.65,Moquegua
2015-01-16,7.99,16.7,1.83,0.0,43.04,Moquegua
2015-01-17,8.27,16.82,1.16,0.54,57.73,Moquegua
2015-01-18,8.63,16.33,3.65,0.67,64.63,Moquegua
2015-01-19,8.14,16.23,3.29,0.03,67.01,Moquegua
2015-01-20,7.52,14.62,3.01,0.71,64.14,Moquegua
2015-01-21,8.61,16.72,2.92,0.77,72.04,Moquegua
2015-01-22,8.45,16.74,3.62,1.58,69.84,Moquegua
2015-01-23,8.81,16.03,4.36,0.6,73.0,Moquegua
2015-01-24,8.4,16.17,2.87,0.02,73.32,Moquegua
2015-01-25,9.32,17.08,3.28,0.07,72.03,Moquegua
2015-01-26,9.02,15.98,4.55,0.15,73.96,Moquegua
2015-01-27,8.33,15.93,3.5,0.02,73.89,Moquegua
2015-01-28,7.81,15.39,3.85,0.19,74.58,Moquegua
2015-01-29,8.9,16.19,4.96,1.3,73.47,Moquegua
2015-01-30,8.86,13.47,5.06,1.09,76.92,Moquegua
2015-01-31,9.7,17.37,3.84,0.17,71.33,Moquegua
2015-02-01,10.17,18.15,3.77,1.39,71.05,Moquegua
2015-02-02,10.59,19.41,3.35,0.02,67.5,Moquegua
2015-02-03,10.26,17.84,4.44,0.04,71.38,Moquegua
2015-02-04,9.3,16.16,5.48,0.51,73.0,Moquegua
2015-02-05,8.78,16.43,4.02,0.3,71.75,Moquegua
2015-02-06,7.89,12.55,5.14,0.15,79.3,Moquegua
2015-02-07,7.73,14.62,3.92,2.2,79.0,Moquegua
2015-02-08,8.23,16.12,3.78,2.67,78.3,Moquegua
2015-02-09,7.01,12.49,3.63,4.31,83.31,Moquegua
2015-02-10,7.45,14.58,2.43,3.33,77.49,Moquegua
2015-02-11,7.06,13.98,4.11,4.86,80.64,Moquegua
2015-02-12,9.11,16.3,3.91,0.2,73.25,Moquegua
2015-02-13,9.45,17.35,4.45,0.11,75.63,Moquegua
2015-02-14,7.64,13.83,4.16,0.88,76.8,Moquegua
2015-02-15,7.84,12.37,4.75,6.29,79.62,Moquegua
2015-02-16,9.35,15.81,4.99,0.02,79.59,Moquegua
2015-02-17,9.33,17.41,2.66,0.0,73.09,Moquegua
2015-02-18,7.72,16.5,1.13,0.0,63.47,Moquegua
2015-02-19,6.3,14.35,-1.72,0.0,69.02,Moquegua
