fecha,temp_media,temp_max,temp_min,precipitacion_mm,humedad_%,region
2015-01-01,6.98,13.16,2.92,5.72,78.78,Pasco
2015-01-02,7.06,13.94,2.95,0.64,80.9,Pasco
2015-01-03,8.07,13.87,4.69,0.0,81.14,Pasco
2015-01-04,8.06,14.49,4.16,0.0,79.01,Pasco
2015-01-05,6.45,11.36,3.0,0.01,82.62,Pasco
2015-01-06,7.39,14.99,1.85,0.01,76.53,Pasco
2015-01-07,8.14,14.72,3.21,0.0,75.98,Pasco
2015-01-08,7.96,14.2,3.39,0.96,78.59,Pasco
2015-01-09,7.23,13.82,2.97,2.83,81.53,Pasco
2015-01-10,7.7,14.42,2.61,0.25,80.05,Pasco
2015-01-11,7.03,13.97,3.53,0.0,81.91,Pasco
2015-01-12,6.81,14.77,0.65,0.0,74.37,Pasco
2015-01-13,7.09,14.78,0.94,3.77,74.27,Pasco
2015-01-14,7.06,14.89,1.0,5.83,73.33,Pasco
2015-01-15,8.17,16.91,1.73,0.0,67.36,Pasco
2015-01-16,7.74,16.38,1.1,0.0,62.48,Pasco
2015-01-17,8.18,14.6,4.96,0.0,79.77,Pasco
2015-01-18,7.68,13.86,4.63,0.08,79.76,Pasco
2015-01-19,7.08,13.57,3.55,1.3,81.78,Pasco
2015-01-20,6.79,12.12,2.87,0.13,81.07,Pasco
2015-01-21,7.04,12.2,4.02,0.01,80.69,Pasco
2015-01-22,7.34,13.2,2.66,0.0,79.02,Pasco
2015-01-23,7.76,12.83,4.17,0.14,80.1,Pasco
2015-01-24,7.08,11.8,4.06,0.02,83.35,Pasco
2015-01-25,8.1,13.83,3.65,0.01,77.74,Pasco
2015-01-26,6.61,13.32,1.59,7.73,80.26,Pasco
2015-01-27,5.69,12.87,1.32,1.48,80.42,Pasco
2015-01-28,6.71,13.42,2.29,0.0,78.49,Pasco
2015-01-29,7.79,13.77,3.41,0.0,79.96,Pasco
2015-01-30,6.31,11.93,1.66,4.56,82.43,Pasco
2015-01-31,6.49,11.28,3.93,0.64,83.85,Pasco
2015-02-01,6.79,12.73,2.59,0.77,81.75,Pasco
2015-02-02,7.27,13.69,3.09,0.21,78.98,Pasco
2015-02-03,7.52,14.45,1.94,0.0,77.47,Pasco
2015-02-04,7.63,14.17,1.79,2.02,79.82,Pasco
2015-02-05,7.75,14.39,3.22,3.84,81.16,Pasco
2015-02-06,6.36,12.12,2.53,1.7,82.66,Pasco
2015-02-07,6.06,12.74,1.9,0.16,80.23,Pasco
2015-02-08,5.21,10.34,1.58,0.66,84.26,Pasco
2015-02-09,6.93,14.24,1.5,1.35,77.79,Pasco
2015-02-10,6.06,13.54,1.21,3.12,81.14,Pasco
2015-02-11,6.43,12.46,1.5,0.51,79.93,Pasco
2015-02-12,7.84,14.26,3.81,0.0,79.54,Pasco
2015-02-13,6.77,13.18,2.69,12.69,83.57,Pasco
2015-02-14,7.07,13.4,2.62,2.5,80.81,Pasco
2015-02-15,7.74,13.91,2.99,0.88,81.08,Pasco
2015-02-16,8.26,14.09,4.18,0.11,78.21,Pasco
2015-02-17,8.42,13.67,4.46,0.72,74.62,Pasco
2015-02-18,8.71,17.96,2.81,0.68,70.79,Pasco
2015-02-19,7.33,14.15,2.75,0.22,71.39,Pasco
2015-02-20,8.63,16.02,3.54,5.89,76.54,Pasco
2015-02-21,7.92,13.1,4.28,4.53,83.78,Pasco
2015-02-22,6.85,13.26,2.01,5.28,81.64,Pasco
2015-02-23,8.19,14.86,2.79,0.49,79.62,Pasco
2015-02-24,6.82,10.1,4.67,15.32,84.33,Pasco
2015-02-25,7.02,12.73,2.72,9.44,84.49,Pasco
2015-02-26,6.62,11.92,3.2,2.62,84.07,Pasco
2015-02-27,6.12,12.49,2.56,0.02,83.37,Pasco
2015-02-28,6.71,13.16,2.17,0.03,80.7,Pasco
2015-03-01,7.36,13.31,3.61,17.62,84.32,Pasco
2015-03-02,6.82,11.51,3.47,7.36,86.82,Pasco
2015-03-03,7.37,13.76,2.96,0.58,82.54,Pasco
2015-03-04,8.04,13.65,3.9,0.01,82.37,Pasco
2015-03-05,7.21,12.04,3.85,2.24,85.5,Pasco
2015-03-06,7.1,12.4,3.79,0.39,84.36,Pasco
2015-03-07,7.26,12.13,3.51,0.02,85.36,Pasco
2015-03-08,7.58,13.24,3.49,4.86,84.11,Pasco
2015-03-09,7.6,13.17,4.05,1.17,84.68,Pasco
2015-03-10,6.79,10.16,4.32,0.01,86.48,Pasco
2015-03-11,8.03,15.03,2.9,0.01,78.99,Pasco
2015-03-12,7.89,13.17,4.42,1.89,82.25,Pasco
2015-03-13,7.36,13.24,2.82,0.15,79.82,Pasco
2015-03-14,7.9,14.6,2.45,3.59,76.06,Pasco
2015-03-15,6.89,11.6,3.32,0.17,85.35,Pasco
2015-03-16,7.06,13.07,3.47,0.47,83.52,Pasco
