fecha,temp_media,temp_max,temp_min,precipitacion_mm,humedad_%,region
2015-01-01,24.88,29.9,20.85,2.04,75.53,SanMartin
2015-01-02,24.28,29.25,20.49,5.58,80.49,SanMartin
2015-01-03,24.01,28.73,20.25,1.4,79.57,SanMartin
2015-01-04,24.4,28.65,21.01,0.48,76.88,SanMartin
2015-01-05,23.6,27.81,20.8,3.95,80.12,SanMartin
2015-01-06,23.33,28.31,19.68,1.89,79.54,SanMartin
2015-01-07,24.27,29.18,19.8,0.01,74.45,SanMartin
2015-01-08,24.94,30.84,19.66,0.01,71.57,SanMartin
2015-01-09,24.2,27.82,21.02,0.02,75.99,SanMartin
2015-01-10,25.0,30.35,20.5,0.91,73.75,SanMartin
2015-01-11,25.03,30.32,20.95,3.84,78.07,SanMartin
2015-01-12,26.29,32.6,21.55,0.79,73.7,SanMartin
2015-01-13,26.18,31.67,22.22,0.19,70.54,SanMartin
2015-01-14,26.57,32.8,21.31,0.02,68.92,SanMartin
2015-01-15,26.48,31.8,22.48,0.0,71.97,SanMartin
2015-01-16,26.99,32.8,21.96,0.03,69.35,SanMartin
2015-01-17,25.63,30.58,22.25,4.22,77.36,SanMartin
2015-01-18,24.71,29.99,21.37,9.4,83.73,SanMartin
2015-01-19,24.69,29.51,21.36,0.91,80.92,SanMartin
2015-01-20,23.86,27.88,21.65,8.99,82.14,SanMartin
2015-01-21,23.08,27.1,20.65,24.09,87.04,SanMartin
2015-01-22,21.77,24.56,19.97,16.52,93.13,SanMartin
2015-01-23,22.65,27.0,19.7,19.41,89.26,SanMartin
2015-01-24,22.65,26.03,20.47,4.78,90.44,SanMartin
2015-01-25,24.16,28.86,19.92,0.0,83.52,SanMartin
2015-01-26,23.78,27.15,21.42,1.47,86.9,SanMartin
2015-01-27,22.85,25.2,21.21,2.65,92.0,SanMartin
2015-01-28,23.64,27.64,20.56,0.07,83.75,SanMartin
2015-01-29,23.82,27.88,20.98,10.87,88.28,SanMartin
2015-01-30,23.79,27.55,21.4,2.66,87.14,SanMartin
2015-01-31,22.81,25.86,21.13,2.99,89.14,SanMartin
2015-02-01,21.75,23.94,20.39,19.06,95.25,SanMartin
2015-02-02,22.65,26.97,19.53,7.56,88.17,SanMartin
2015-02-03,22.16,25.7,19.41,2.28,88.18,SanMartin
2015-02-04,23.14,27.28,19.08,0.17,82.36,SanMartin
2015-02-05,24.01,28.54,20.47,3.7,86.45,SanMartin
2015-02-06,23.83,27.39,21.22,0.71,89.28,SanMartin
2015-02-07,23.5,26.67,21.26,5.48,89.96,SanMartin
2015-02-08,23.06,25.81,21.55,3.18,91.12,SanMartin
2015-02-09,22.8,25.08,20.93,2.29,87.8,SanMartin
2015-02-10,23.4,26.89,21.18,0.64,88.04,SanMartin
2015-02-11,23.48,26.57,20.87,6.3,85.27,SanMartin
2015-02-12,23.06,26.6,20.69,4.71,91.53,SanMartin
2015-02-13,22.88,26.68,20.27,8.09,89.59,SanMartin
2015-02-14,24.28,29.36,20.78,2.54,85.43,SanMartin
2015-02-15,24.01,28.04,21.41,0.37,84.79,SanMartin
