fecha,temp_media,temp_max,temp_min,precipitacion_mm,humedad_%,region
2015-01-01,26.32,29.98,22.95,3.39,85.36,Ucayali
2015-01-02,26.18,30.0,23.05,2.05,85.54,Ucayali
2015-01-03,25.8,29.01,23.6,1.85,86.19,Ucayali
2015-01-04,26.24,29.96,23.07,0.89,83.88,Ucayali
2015-01-05,26.01,29.2,23.34,0.54,82.18,Ucayali
2015-01-06,26.47,31.17,22.28,0.06,78.49,Ucayali
2015-01-07,26.56,31.02,22.3,1.3,77.6,Ucayali
2015-01-08,27.0,32.0,23.04,1.26,78.76,Ucayali
2015-01-09,26.94,31.05,23.79,2.17,82.19,Ucayali
2015-01-10,27.19,31.19,23.82,2.52,80.57,Ucayali
2015-01-11,27.25,31.11,23.79,0.67,80.01,Ucayali
2015-01-12,27.1,31.78,23.78,0.72,79.06,Ucayali
2015-01-13,26.16,30.22,23.41,3.83,83.8,Ucayali
2015-01-14,25.53,29.07,23.56,5.42,85.9,Ucayali
2015-01-15,26.95,32.04,22.73,0.64,80.19,Ucayali
2015-01-16,27.52,32.41,23.51,0.36,77.79,Ucayali
2015-01-17,27.17,31.38,24.33,0.14,78.29,Ucayali
2015-01-18,26.05,29.63,22.92,7.94,85.51,Ucayali
2015-01-19,26.53,31.18,23.35,1.7,81.42,Ucayali
2015-01-20,26.43,31.09,22.8,5.12,81.83,Ucayali
2015-01-21,24.74,27.24,23.11,4.98,87.99,Ucayali
2015-01-22,25.18,28.67,22.86,1.6,83.51,Ucayali
2015-01-23,24.76,28.12,22.33,28.88,90.33,Ucayali
2015-01-24,25.17,28.73,22.55,4.65,90.0,Ucayali
2015-01-25,25.89,29.75,22.64,1.03,86.3,Ucayali
2015-01-26,25.33,28.1,23.27,6.23,92.14,Ucayali
2015-01-27,24.96,27.34,23.07,4.97,93.58,Ucayali
2015-01-28,25.9,29.09,23.03,0.54,85.55,Ucayali
2015-01-29,26.68,30.03,24.5,0.56,82.24,Ucayali
2015-01-30,25.48,28.43,23.49,3.72,89.57,Ucayali
2015-01-31,24.71,27.52,23.06,3.19,88.34,Ucayali
2015-02-01,25.44,29.57,21.9,3.39,83.83,Ucayali
2015-02-02,26.04,30.18,23.4,1.55,81.61,Ucayali
2015-02-03,26.84,31.81,22.65,0.16,77.44,Ucayali
2015-02-04,27.31,32.61,22.44,0.97,75.74,Ucayali
2015-02-05,26.31,29.78,23.44,2.97,84.16,Ucayali
2015-02-06,26.74,31.06,23.84,1.64,84.02,Ucayali
2015-02-07,27.32,32.06,23.64,0.1,78.55,Ucayali
2015-02-08,25.79,28.5,23.86,2.02,82.85,Ucayali
2015-02-09,25.38,28.6,22.6,7.23,87.3,Ucayali
