Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Unit,Y1961,Y1961F,Y1961N,Y1962,Y1962F,Y1962N,Y1963,Y1963F,Y1963N,Y1964,Y1964F,Y1964N,Y1965,Y1965F,Y1965N,Y1966,Y1966F,Y1966N,Y1967,Y1967F,Y1967N,Y1968,Y1968F,Y1968N,Y1969,Y1969F,Y1969N,Y1970,Y1970F,Y1970N,Y1971,Y1971F,Y1971N,Y1972,Y1972F,Y1972N,Y1973,Y1973F,Y1973N,Y1974,Y1974F,Y1974N,Y1975,Y1975F,Y1975N,Y1976,Y1976F,Y1976N,Y1977,Y1977F,Y1977N,Y1978,Y1978F,Y1978N,Y1979,Y1979F,Y1979N,Y1980,Y1980F,Y1980N,Y1981,Y1981F,Y1981N,Y1982,Y1982F,Y1982N,Y1983,Y1983F,Y1983N,Y1984,Y1984F,Y1984N,Y1985,Y1985F,Y1985N,Y1986,Y1986F,Y1986N,Y1987,Y1987F,Y1987N,Y1988,Y1988F,Y1988N,Y1989,Y1989F,Y1989N,Y1990,Y1990F,Y1990N,Y1991,Y1991F,Y1991N,Y1992,Y1992F,Y1992N,Y1993,Y1993F,Y1993N,Y1994,Y1994F,Y1994N,Y1995,Y1995F,Y1995N,Y1996,Y1996F,Y1996N,Y1997,Y1997F,Y1997N,Y1998,Y1998F,Y1998N,Y1999,Y1999F,Y1999N,Y2000,Y2000F,Y2000N,Y2001,Y2001F,Y2001N,Y2002,Y2002F,Y2002N,Y2003,Y2003F,Y2003N,Y2004,Y2004F,Y2004N,Y2005,Y2005F,Y2005N,Y2006,Y2006F,Y2006N,Y2007,Y2007F,Y2007N,Y2008,Y2008F,Y2008N,Y2009,Y2009F,Y2009N,Y2010,Y2010F,Y2010N,Y2011,Y2011F,Y2011N,Y2012,Y2012F,Y2012N,Y2013,Y2013F,Y2013N,Y2014,Y2014F,Y2014N,Y2015,Y2015F,Y2015N,Y2016,Y2016F,Y2016N,Y2017,Y2017F,Y2017N,Y2018,Y2018F,Y2018N,Y2019,Y2019F,Y2019N,Y2020,Y2020F,Y2020N,Y2021,Y2021F,Y2021N,Y2022,Y2022F,Y2022N,Y2023,Y2023F,Y2023N,Y2024,Y2024F,Y2024N
170,'604,Peru,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5510,Production,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,M,,,M,,,M,,,M,,,M,,,M,,,M,,,M,,,M,,,M,,,M,,10351.0,A,,11109.0,A,,7155.0,A,,7200.0,E,,8000.0,E,,7500.0,E,,4960.0,A,,6430.0,A,,828.0,A,,669.01,A,,416.39,A,,279.0,A,,252.0,A,,257.99,A,,66.46,A,,70.0,A,,97.0,A,,118.0,A,,108.0,A,,59.4,A,,78.0,A,,76.9,A,
170,'604,Peru,515,'01341,Apples,5510,Production,t,71000.0,E,,72000.0,E,,72000.0,E,,80000.0,E,,74881.0,A,,83100.0,A,,84894.0,A,,64134.0,A,,65776.0,A,,77759.0,A,,74773.0,A,,74487.0,A,,74209.0,A,,74750.0,A,,74920.0,A,,74852.0,A,,79372.0,A,,77596.0,A,,77358.0,A,,79349.0,A,,87266.0,A,,93116.0,A,,87103.0,A,,99791.0,A,,98909.0,A,,109208.0,A,,134559.0,A,,134364.0,A,,136891.0,A,,118416.0,A,,108770.0,A,,94309.0,A,,113010.0,A,,104280.0,A,,166094.0,A,,172896.0,A,,163445.0,A,,126052.0,A,,149822.0,A,,157493.0,A,,138338.0,A,,123266.0,A,,134357.0,A,,146893.0,A,,139332.0,A,,136399.0,A,,136744.0,A,,135209.0,A,,137208.0,A,,143861.0,A,,149561.0,A,,146773.92,A,,156350.42,A,,159879.0,A,,159550.0,A,,158098.38,A,,149787.0,A,,140570.8,A,,144868.0,A,,139514.02,A,,143264.87,A,,132958.63,A,,125755.35,A,,115945.32,A,
170,'604,Peru,526,'01343,Apricots,5510,Production,t,,M,,,M,,,M,,,M,,,M,,,M,,,M,,,M,,,M,,306.0,A,,367.0,A,,441.0,A,,431.0,A,,444.0,A,,515.0,A,,465.0,A,,423.0,A,,520.0,A,,503.0,A,,472.0,A,,475.0,A,,443.0,A,,323.0,A,,368.0,A,,315.0,A,,267.0,A,,325.0,A,,285.0,A,,306.0,A,,311.0,A,,268.0,A,,206.0,A,,227.0,A,,212.0,A,,240.0,A,,217.0,A,,239.0,A,,196.0,A,,145.0,A,,165.0,E,,160.0,E,,165.0,E,,170.0,E,,175.0,E,,180.0,E,,194.0,E,,210.0,E,,220.0,E,,230.0,E,,232.3,I,,225.23,I,,314.85,A,,278.38,A,,252.0,A,,242.0,A,,239.0,A,,196.0,A,,358.0,A,,437.0,A,,484.0,A,,469.0,A,,676.25,A,,890.76,A,,679.31,A,
170,'604,Peru,366,'01216,Artichokes,5510,Production,t,3500.0,E,,3500.0,E,,3500.0,E,,3500.0,E,,3500.0,E,,3522.0,A,,4096.0,A,,5068.0,A,,3050.0,A,,2072.0,A,,1824.0,A,,1789.0,A,,1960.0,A,,1627.0,A,,1996.0,A,,2010.0,A,,1362.0,A,,1161.0,A,,841.0,A,,1100.0,A,,1589.0,A,,1510.0,A,,1502.0,A,,1536.0,A,,955.0,A,,953.0,A,,1077.0,A,,1110.0,A,,967.0,A,,888.0,A,,898.0,A,,1010.0,A,,988.0,A,,1382.0,A,,1881.0,A,,5264.0,A,,2238.0,A,,2449.0,A,,2662.0,A,,4310.0,A,,6772.0,A,,8406.0,A,,19752.0,A,,42031.0,A,,67942.0,A,,113200.0,A,,134244.0,A,,126201.0,A,,115710.0,A,,127323.0,A,,150417.0,A,,141708.0,A,,112865.0,A,,103348.11,A,,89983.0,A,,108801.33,A,,145068.0,A,,154551.94,A,,131707.22,A,,82095.82,A,,99518.44,A,,89492.33,A,,136692.6,A,,122918.16,A,
170,'604,Peru,367,'01211,Asparagus,5510,Production,t,5000.0,E,,5000.0,E,,5000.0,E,,5000.0,E,,5000.0,E,,5313.0,A,,5635.0,A,,4084.0,A,,3930.0,A,,4836.0,A,,2446.0,A,,3133.0,A,,2634.0,A,,2723.0,A,,2715.0,A,,2745.0,A,,4171.0,A,,5466.0,A,,7079.0,A,,4428.0,A,,7575.0,A,,8292.0,A,,8800.0,A,,11393.0,A,,16150.0,A,,16796.0,A,,20344.0,A,,26646.0,A,,41904.0,A,,57996.0,A,,64663.0,A,,73676.0,A,,97322.0,A,,131387.0,A,,108138.0,A,,127598.0,A,,144654.0,A,,137943.0,A,,174863.0,A,,168356.0,A,,184061.0,A,,181165.0,A,,189601.0,A,,192533.0,A,,206026.0,A,,259954.0,A,,284103.0,A,,328374.0,A,,313880.0,A,,335209.0,A,,392306.0,A,,375977.71,A,,383143.73,A,,377701.0,A,,369032.0,A,,378305.79,A,,383098.0,A,,360630.14,A,,356789.56,A,,369370.0,A,,369153.0,A,,377246.1,A,,356728.51,A,,333054.75,A,
170,'604,Peru,572,'01311,Avocados,5510,Production,t,19910.0,A,,20930.0,A,,22460.0,A,,23645.0,A,,29815.0,A,,46522.0,A,,45305.0,A,,49053.0,A,,66388.0,A,,87396.0,A,,96384.0,A,,104904.0,A,,104253.0,A,,104047.0,A,,85788.0,A,,82938.0,A,,83916.0,A,,83480.0,A,,82606.0,A,,73518.0,A,,77005.0,A,,86107.0,A,,77556.0,A,,83012.0,A,,70707.0,A,,80148.0,A,,83873.0,A,,86200.0,A,,87318.0,A,,87928.0,A,,85709.0,A,,96181.0,A,,92658.0,A,,53112.0,A,,53145.0,A,,64408.0,A,,72093.0,A,,67222.0,A,,78037.0,A,,83671.0,A,,93459.0,A,,94236.0,A,,99975.0,A,,108460.0,A,,103417.0,A,,113259.0,A,,121720.0,A,,136303.0,A,,157415.0,A,,184370.0,A,,213662.0,A,,268525.27,A,,288387.0,A,,349317.0,A,,367110.0,A,,455394.17,A,,466796.0,A,,504839.74,A,,571991.85,A,,672232.24,A,,776650.96,A,,798319.12,A,,872133.76,A,,919601.78,A,
170,'604,Peru,486,'01312,Bananas,5510,Production,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,M,,,M,,,M,,,M,,,M,,,M,,,M,,,M,,,M,,,M,,,M,,,M,,,M,,,,,,,,,,,,,,,,,2007284.0,A,,1968051.0,A,,2082089.3,A,,2114853.0,A,,2125839.0,A,,2145361.0,A,,2073994.7,A,,1981047.0,A,,2194857.56,A,,2252171.5,A,,2326085.08,A,,2337153.35,A,,2424180.34,A,,2414867.93,A,,2343310.52,A,
170,'604,Peru,44,'0115,Barley,5510,Production,t,216872.0,A,,199526.0,A,,196380.0,A,,182894.0,A,,178951.0,A,,154238.0,A,,172447.0,A,,145855.0,A,,163665.0,A,,169955.0,A,,158818.0,A,,163020.0,A,,155284.0,A,,150897.0,A,,148759.0,A,,149517.0,A,,146199.0,A,,129510.0,A,,131444.0,A,,97870.0,A,,114504.0,A,,110243.0,A,,87809.0,A,,102803.0,A,,124110.0,A,,118138.0,A,,110226.0,A,,128584.0,A,,125603.0,A,,71638.0,A,,117074.0,A,,68816.0,A,,112499.0,A,,129843.0,A,,131193.0,A,,152939.0,A,,137812.0,A,,165813.0,A,,169768.0,A,,185577.0,A,,177671.0,A,,198032.0,A,,193717.0,A,,177169.0,A,,193085.0,A,,191627.0,A,,177479.0,A,,185981.0,A,,213279.0,A,,216193.0,A,,201218.0,A,,214488.74,A,,224533.09,A,,226310.0,A,,227168.0,A,,210298.42,A,,202974.0,A,,208971.6,A,,210298.42,A,,203422.0,A,,220395.59,A,,221838.53,A,,205507.38,A,,244113.66,A,
170,'604,Peru,176,'01701,"Beans, dry",5510,Production,t,42530.0,A,,45360.0,A,,42360.0,A,,44734.0,A,,48424.0,A,,65285.0,A,,76471.0,A,,50703.0,A,,64616.0,A,,62918.0,A,,58271.0,A,,59805.0,A,,60374.0,A,,61653.0,A,,57530.0,A,,59610.0,A,,56109.0,A,,54452.0,A,,54865.0,A,,50843.0,A,,55910.0,A,,54481.0,A,,42443.0,A,,51702.0,A,,50423.0,A,,58050.0,A,,60438.0,A,,56882.0,A,,58604.0,A,,50337.0,A,,53004.0,A,,44096.0,A,,54030.0,A,,62802.0,A,,59531.0,A,,69043.0,A,,62687.0,A,,68816.0,A,,70501.0,A,,69815.0,A,,61280.0,A,,62424.0,A,,59196.0,A,,58524.0,A,,71667.0,A,,83008.0,A,,81788.0,A,,86145.0,A,,98608.0,A,,92758.0,A,,87853.0,A,,92475.71,A,,94574.0,A,,89517.0,A,,89575.0,A,,80886.75,A,,75706.0,A,,88370.47,A,,85745.56,A,,87227.43,A,,92608.78,A,,87865.82,A,,92007.16,A,,93597.97,A,
170,'604,Peru,51,'24310.01,"Beer of barley, malted",5510,Production,t,142900.0,X,Unofficial figure,159700.0,X,Unofficial figure,163700.0,X,Unofficial figure,164600.0,X,Unofficial figure,172600.0,X,Unofficial figure,209800.0,X,Unofficial figure,212100.0,X,Unofficial figure,218800.0,X,Unofficial figure,232000.0,X,Unofficial figure,234400.0,X,Unofficial figure,294000.0,X,Unofficial figure,300000.0,X,Unofficial figure,342600.0,A,,382600.0,A,,429600.0,A,,509600.0,A,,469100.0,A,,396400.0,A,,460000.0,A,,540600.0,A,,523400.0,A,,555600.0,A,,523000.0,A,,538800.0,A,,572400.0,A,,747700.0,A,,855900.0,A,,701800.0,A,,547500.0,A,,490000.0,A,,573300.0,A,,678100.0,A,,685200.0,A,,772000.0,A,,781730.0,A,,743450.0,A,,743060.0,A,,655720.0,A,,616800.0,A,,570550.0,A,,527700.0,X,Unofficial figure,598200.0,X,Unofficial figure,604400.0,X,Unofficial figure,610000.0,X,Unofficial figure,710000.0,X,Unofficial figure,796200.0,X,Unofficial figure,923600.0,X,Unofficial figure,1080000.0,X,Unofficial figure,1090000.0,X,Unofficial figure,1100000.0,X,Unofficial figure,1150000.0,X,Unofficial figure,1365089.1,A,,1349327.9,A,,1355140.8,A,,1310000.0,X,Unofficial figure,1350000.0,X,Unofficial figure,1436500.0,X,Unofficial figure,1448000.0,X,Unofficial figure,1453500.0,X,Unofficial figure,1220000.0,X,Unofficial figure,1401000.0,X,Unofficial figure,1452162.0,A,,1421417.0,A,,,,
